,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AV角球數,,,,,BA賽果HAD,BB賠率
0,SAT 1,2005-01-01 20:00,英格蘭冠軍聯賽,打比郡,卡迪夫城,1.7009,3.3323,4.4738,1.6995,3.3439,4.4875,---,---,---,1.72,3.30,4.20,0.0505,0.0297,0.1138,0.0342,0.3956,0.0884,0.0526,0.0309,0.1223,0.0366,0.4155,0.0926,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 1,0 , 1,A,
1,SAT 2,2005-01-01 20:45,英格蘭超級聯賽,利物浦,車路士,2.9815,3.1542,2.2390,2.9951,3.1441,2.2390,---,---,---,3.20,2.30,2.70,0.1918,0.0643,0.1662,0.0527,0.0753,0.0336,0.1938,0.0647,0.1689,0.0537,0.0749,0.0335,---,---,---,0/+0.5,1.86,1.93,---,---,---,2.5,2.18,1.60,,,,,,,,0 , 0,0 , 1,A,
2,SAT 3,2005-01-01 21:00,英格蘭冠軍聯賽,葉士域治,韋斯咸,1.8623,3.2419,3.7619,1.8573,3.2586,3.7781,---,---,---,1.75,3.35,4.00,0.0619,0.0332,0.1222,0.0377,0.2690,0.0715,0.0614,0.0331,0.1498,0.0460,0.2744,0.0726,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 1,0 , 2,A,
3,SAT 4,2005-01-01 22:00,英格蘭超級聯賽,富咸,水晶宮,1.9159,3.2406,3.7056,1.9196,3.2335,3.7129,---,---,---,2.00,3.10,3.35,0.0596,0.0311,0.1522,0.0470,0.2580,0.0696,0.0636,0.0331,0.1513,0.0468,0.2561,0.0690,---,---,---,-0.5,2.00,1.82,---,---,---,2.5,1.95,1.75,,,,,,,,1 , 1,3 , 1,H,
4,SAT 5,2005-01-01 23:00,英格蘭超級聯賽,阿士東維拉,布力般流浪,1.8340,3.2588,4.0301,1.8428,3.2565,4.0014,---,---,---,2.00,3.10,3.35,0.0880,0.0480,0.1455,0.0446,0.2696,0.0669,0.0931,0.0505,0.1440,0.0442,0.2648,0.0662,---,---,---,-0.5,2.00,1.82,---,---,---,2.5,2.10,1.65,,,,,,,,0 , 0,1 , 0,H,
5,SAT 6,2005-01-01 23:00,英格蘭超級聯賽,保頓,西布朗,1.6254,3.4232,5.2435,1.6166,3.4344,5.3292,---,---,---,1.60,3.40,4.90,0.0606,0.0373,0.1695,0.0495,0.6120,0.1167,0.0601,0.0372,0.1690,0.0492,0.6298,0.1182,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 1,1 , 1,D,
6,SAT 7,2005-01-01 23:00,英格蘭超級聯賽,查爾頓,阿仙奴,---,---,---,5.00,2.95,1.72,,,,,,,/,,/,,/,,/,,/,,/,,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,1 , 1,1 , 3,A,
7,SAT 8,2005-01-01 23:00,英格蘭超級聯賽,曼城,修咸頓,1.7049,3.3475,4.6571,1.7044,3.3520,4.6584,---,---,---,1.75,3.30,4.10,0.0471,0.0276,0.1605,0.0479,0.3599,0.0773,0.0484,0.0284,0.1628,0.0486,0.3844,0.0825,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,2 , 0,2 , 1,H,
8,SAT 9,2005-01-01 23:00,英格蘭超級聯賽,紐卡素,伯明翰,1.8753,3.2547,3.8405,1.8754,3.2542,3.8503,---,---,---,1.05,7.50,29.00,0.0663,0.0354,0.1519,0.0467,0.2660,0.0693,0.0665,0.0355,0.1502,0.0461,0.2723,0.0707,---,---,---,-0.5,1.95,1.85,---,---,---,2.5,1.85,1.85,,,,,,,,2 , 0,2 , 1,H,
