,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
9,SAT 10,2005-01-01 23:00,英格蘭超級聯賽,樸茨茅夫,諾域治,1.6780,3.3697,4.8366,1.6685,3.3809,4.8880,---,---,---,1.62,3.40,4.75,0.0400,0.0238,0.1761,0.0523,0.5227,0.1081,0.0384,0.0230,0.1814,0.0536,0.5257,0.1076,,,,,,,---,---,---,2.5,1.92,1.78,,,,,,,,0 , 1,1 , 1,D,
10,SAT 11,2005-01-01 23:00,英格蘭超級聯賽,熱刺,愛華頓,2.2589,3.1551,2.9516,2.2508,3.1449,2.9711,---,---,---,1.30,4.25,8.50,0.0729,0.0323,0.1551,0.0492,0.2018,0.0684,0.0676,0.0300,0.1541,0.0490,0.2106,0.0709,---,---,---,0/-0.5,1.85,2.00,---,---,---,2.5,2.19,1.60,,,,,,,,2 , 1,5 , 2,H,
11,SAT 13,2005-01-01 23:00,英格蘭冠軍聯賽,基寧咸,雷丁,2.7433,3.1849,2.2980,2.7519,3.1828,2.3028,---,---,---,2.55,3.25,2.35,0.1441,0.0525,0.1353,0.0425,0.0933,0.0406,0.1495,0.0543,0.1361,0.0428,0.0873,0.0379,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 0,0 , 0,D,
12,SAT 14,2005-01-01 23:00,英格蘭冠軍聯賽,列斯聯,克魯,1.9075,3.2230,3.6028,1.9041,3.2353,3.6150,---,---,---,1.95,3.25,3.30,0.0761,0.0399,0.1217,0.0378,0.2525,0.0701,0.0718,0.0377,0.1421,0.0439,0.2540,0.0703,,,,,,,---,---,---,2.5,1.82,1.88,,,,,,,,0 , 1,0 , 2,A,
13,SAT 15,2005-01-01 23:00,英格蘭冠軍聯賽,諾定咸森林,史篤城,2.3939,3.1296,2.6752,2.3773,3.1309,2.7000,---,---,---,2.25,3.05,2.85,0.0900,0.0376,0.1368,0.0437,0.1556,0.0582,0.0850,0.0357,0.1328,0.0424,0.1646,0.0610,,,,,,,---,---,---,2.5,2.30,1.55,,,,,,,,0 , 0,1 , 0,H,
14,SAT 16,2005-01-01 23:00,英格蘭冠軍聯賽,普雷斯頓,新特蘭,2.5164,3.1345,2.5283,2.5198,3.1400,2.5305,---,---,---,2.50,3.10,2.50,0.0780,0.0310,0.1349,0.0430,0.1101,0.0435,0.0826,0.0328,0.1361,0.0433,0.1106,0.0437,---,---,---,0,1.85,2.00,---,---,---,2.5,1.95,1.75,,,,,,,,3 , 0,3 , 2,H,
15,SAT 17,2005-01-01 23:00,英格蘭冠軍聯賽,昆士柏流浪,白禮頓,1.8556,3.2496,3.7603,1.8565,3.2535,3.7723,---,---,---,1.85,3.25,3.65,0.0796,0.0429,0.0990,0.0305,0.2933,0.0780,0.0812,0.0438,0.1028,0.0316,0.3069,0.0814,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 0,0 , 0,D,
16,SAT 18,2005-01-01 23:00,英格蘭冠軍聯賽,洛達咸,高雲地利,2.4320,3.1394,2.6110,2.4345,3.1491,2.6130,---,---,---,2.25,3.20,2.75,0.0768,0.0316,0.1364,0.0434,0.0979,0.0375,0.0807,0.0331,0.1485,0.0472,0.1012,0.0387,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,1 , 0,1 , 2,A,
17,SAT 19,2005-01-01 23:00,英格蘭冠軍聯賽,錫菲聯,韋根,2.2759,3.1712,2.7900,2.2740,3.1743,2.8056,---,---,---,2.25,3.20,2.75,0.0857,0.0377,0.1266,0.0399,0.1122,0.0402,0.0842,0.0370,0.1278,0.0403,0.1346,0.0480,---,---,---,0/-0.5,2.00,1.84,---,---,---,2.5,1.92,1.78,,,,,,,,0 , 1,0 , 2,A,
18,SAT 20,2005-01-01 23:00,英格蘭冠軍聯賽,屈福特,米禾爾,2.5410,3.1271,2.5078,2.5451,3.1316,2.5110,---,---,---,2.55,3.05,2.50,0.0936,0.0368,0.1430,0.0457,0.1095,0.0437,0.0962,0.0378,0.1456,0.0465,0.1098,0.0437,,,,,,,---,---,---,2.5,2.15,1.62,,,,,,,,0 , 0,1 , 0,H,
19,SAT 21,2005-01-01 23:00,英格蘭冠軍聯賽,狼隊,普利茅夫,1.8591,3.2435,3.7593,1.8565,3.2474,3.7749,---,---,---,1.90,3.25,3.50,0.0535,0.0288,0.1207,0.0372,0.2592,0.0689,0.0526,0.0283,0.1255,0.0387,0.2815,0.0746,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,1 , 0,1 , 1,D,
20,SAT 22,2005-01-01 23:00,蘇格蘭超級聯賽,登地聯,格拉斯哥流浪,10.1599,5.2177,1.2192,10.1739,5.2177,1.2192,---,---,---,9.50,4.60,1.25,1.4490,0.1426,0.3517,0.0674,0.0260,0.0214,1.4425,0.1418,0.3517,0.0674,0.0260,0.0214,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,1 , 0,1 , 1,D,
21,SAT 23,2005-01-01 23:00,蘇格蘭超級聯賽,鄧弗姆林,登地,1.9939,3.2242,3.3478,1.9919,3.2249,3.3540,---,---,---,2.00,3.05,3.40,0.0695,0.0349,0.0666,0.0207,0.2405,0.0718,0.0694,0.0348,0.0671,0.0208,0.2416,0.0720,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,2 , 1,3 , 1,H,
22,SAT 24,2005-01-02 01:30,英格蘭超級聯賽,米杜士堡,曼聯,---,---,---,11.00,3.85,1.30,,,,,,,/,,/,,/,,/,,/,,/,,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 1,0 , 2,A,
0,SUN 1,2005-01-02 22:00,蘇格蘭超級聯賽,喜伯年,赫斯,2.2132,3.1603,2.9241,2.2118,3.1584,2.9285,---,---,---,2.10,3.15,3.05,0.0691,0.0312,0.1093,0.0346,0.1656,0.0566,0.0699,0.0316,0.1080,0.0342,0.1629,0.0556,---,---,---,0/-0.5,1.89,1.95,---,---,---,2.5,1.92,1.78,,,,,,,,1 , 0,1 , 1,D,
1,SUN 2,2005-01-02 23:00,蘇格蘭超級聯賽,些路迪,利雲斯頓,1.1088,6.8833,15.4639,1.1084,6.8978,15.4929,---,---,---,1.10,6.75,15.00,0.0172,0.0155,0.7446,0.1082,2.6799,0.1733,0.0177,0.0160,0.7468,0.1083,2.6856,0.1733,---,---,---,-2.5,2.12,1.74,---,---,---,3.5,2.02,1.70,,,,,,,,1 , 1,2 , 1,H,
2,MON 1,2005-01-03 20:45,英格蘭超級聯賽,諾域治,利物浦,5.0628,3.3709,1.6542,5.0554,3.3715,1.6547,---,---,---,4.55,2.50,2.00,0.6107,0.1206,0.1783,0.0529,0.0603,0.0364,0.6121,0.1211,0.1778,0.0527,0.0607,0.0367,,,,,,,---,---,---,2.5,2.02,1.70,,,,,,,,0 , 0,1 , 2,A,
3,MON 2,2005-01-03 21:00,英格蘭冠軍聯賽,卡迪夫城,諾定咸森林,1.9812,3.2068,3.3707,1.9812,3.2068,3.3707,---,---,---,2.00,3.20,3.25,0.1017,0.0513,0.0925,0.0289,0.2269,0.0673,0.1017,0.0513,0.0925,0.0289,0.2269,0.0673,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,3 , 0,H,
4,MON 3,2005-01-03 23:00,英格蘭超級聯賽,布力般流浪,查爾頓,2.2759,3.1515,2.9299,2.2762,3.1515,2.9288,---,---,---,1.45,3.45,7.00,0.0812,0.0357,0.1662,0.0527,0.2261,0.0772,0.0784,0.0344,0.1662,0.0527,0.2254,0.0770,---,---,---,0/-0.5,1.91,1.93,---,---,---,2.5,2.05,1.68,,,,,,,,1 , 0,1 , 0,H,
5,MON 4,2005-01-03 23:00,英格蘭超級聯賽,水晶宮,阿士東維拉,2.6683,3.1519,2.4588,2.6709,3.1519,2.4563,---,---,---,1.60,3.20,5.50,0.1284,0.0481,0.1651,0.0524,0.1017,0.0414,0.1270,0.0475,0.1651,0.0524,0.1031,0.0420,---,---,---,0,2.12,1.75,---,---,---,2.5,2.15,1.62,,,,,,,,1 , 0,2 , 0,H,
6,MON 5,2005-01-03 23:00,英格蘭冠軍聯賽,白禮頓,屈福特,2.2134,3.1759,2.8948,2.2141,3.1759,2.8934,---,---,---,2.35,3.15,2.65,0.1106,0.0500,0.1195,0.0376,0.1440,0.0497,0.1097,0.0496,0.1195,0.0376,0.1411,0.0488,,,,,,,---,---,---,2.5,2.15,1.62,,,,,,,,1 , 1,2 , 1,H,
7,MON 6,2005-01-03 23:00,英格蘭冠軍聯賽,高雲地利,列斯聯,2.2846,3.1850,2.7795,2.2839,3.1850,2.7812,---,---,---,2.30,3.25,2.65,0.0758,0.0332,0.1493,0.0469,0.1219,0.0439,0.0759,0.0332,0.1493,0.0469,0.1206,0.0433,---,---,---,0,1.80,2.05,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 1,1 , 2,A,
8,MON 7,2005-01-03 23:00,英格蘭冠軍聯賽,李斯特城,昆士柏流浪,1.8539,3.2670,3.7583,1.8513,3.2634,3.7690,---,---,---,1.83,3.25,3.75,0.0679,0.0366,0.1084,0.0332,0.3335,0.0887,0.0653,0.0353,0.1047,0.0321,0.3208,0.0851,,,,,,,---,---,---,2.5,2.02,1.70,,,,,,,,1 , 0,1 , 0,H,
9,MON 8,2005-01-03 23:00,英格蘭冠軍聯賽,米禾爾,洛達咸,1.4466,3.7243,6.5489,1.4466,3.7243,6.5489,---,---,---,1.52,3.40,6.00,0.0498,0.0344,0.1261,0.0338,0.5801,0.0886,0.0498,0.0344,0.1261,0.0338,0.5801,0.0886,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,1 , 1,1 , 2,A,
10,MON 9,2005-01-03 23:00,英格蘭冠軍聯賽,普利茅夫,葉士域治,2.8107,3.1838,2.2597,2.8107,3.1838,2.2597,---,---,---,2.62,3.25,2.30,0.1363,0.0485,0.1234,0.0388,0.0834,0.0369,0.1363,0.0485,0.1234,0.0388,0.0834,0.0369,---,---,---,0/+0.5,1.83,2.00,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,1 , 2,A,
11,MON 10,2005-01-03 23:00,英格蘭冠軍聯賽,史篤城,般尼,1.9850,3.1858,3.3958,1.9878,3.1835,3.3903,---,---,---,2.05,2.90,3.45,0.0895,0.0451,0.1033,0.0324,0.1485,0.0437,0.0902,0.0454,0.1029,0.0323,0.1483,0.0437,,,,,,,---,---,---,2.5,2.55,1.45,,,,,,,,0 , 0,0 , 1,A,
12,MON 11,2005-01-03 23:00,英格蘭冠軍聯賽,新特蘭,基寧咸,1.4010,3.8946,7.1742,1.4010,3.8946,7.1742,---,---,---,1.40,3.75,7.00,0.0314,0.0224,0.2108,0.0541,1.0238,0.1427,0.0314,0.0224,0.2108,0.0541,1.0238,0.1427,,,,,,,---,---,---,2.5,1.75,1.95,,,,,,,,1 , 1,1 , 1,D,
13,MON 12,2005-01-03 23:00,英格蘭冠軍聯賽,韋斯咸,錫菲聯,1.9519,3.2342,3.4459,1.9494,3.2357,3.4517,---,---,---,2.05,3.20,3.10,0.0905,0.0464,0.1392,0.0431,0.2605,0.0756,0.0915,0.0469,0.1394,0.0431,0.2594,0.0752,---,---,---,0/-0.5,1.75,2.10,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 1,0 , 2,A,
14,MON 13,2005-01-03 23:00,蘇格蘭超級聯賽,恩華尼斯,基爾馬諾克,2.2166,3.1816,2.8975,2.2168,3.1808,2.8978,---,---,---,2.25,3.20,2.75,0.0673,0.0304,0.1081,0.0340,0.1173,0.0405,0.0675,0.0304,0.1074,0.0338,0.1174,0.0405,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,0 , 2,A,
15,MON 14,2005-01-03 23:00,蘇格蘭超級聯賽,馬瑟韋爾,鴨巴甸,2.2681,3.1838,2.8060,2.2681,3.1838,2.8060,---,---,---,2.25,3.20,2.75,0.0821,0.0362,0.1119,0.0352,0.1256,0.0448,0.0821,0.0362,0.1119,0.0352,0.1256,0.0448,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 0,0 , 0,D,
16,MON 15,2005-01-04 01:30,英格蘭冠軍聯賽,雷丁,打比郡,1.7632,3.3280,4.0928,1.7632,3.3280,4.0928,---,---,---,1.75,3.35,4.00,0.0423,0.0240,0.1357,0.0408,0.2616,0.0639,0.0423,0.0240,0.1357,0.0408,0.2616,0.0639,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 1,0 , 1,A,
17,MON 16,2005-01-04 03:45,英格蘭冠軍聯賽,克魯,普雷斯頓,2.0116,3.2432,3.2536,2.0116,3.2432,3.2536,---,---,---,2.15,3.35,2.82,0.0684,0.0340,0.1453,0.0448,0.1496,0.0460,0.0684,0.0340,0.1453,0.0448,0.1496,0.0460,---,---,---,0/-0.5,2.00,1.85,---,---,---,2.5,1.70,2.02,,,,,,,,0 , 1,1 , 2,A,
18,MON 17,2005-01-04 04:00,英格蘭超級聯賽,西布朗,紐卡素,3.8224,3.2588,1.8869,3.8256,3.2588,1.8863,---,---,---,3.65,3.25,1.85,0.3576,0.0936,0.1604,0.0492,0.0770,0.0408,0.3558,0.0930,0.1604,0.0492,0.0771,0.0409,,,,,,,---,---,---,2.5,1.87,1.83,,,,,,,,0 , 0,0 , 0,D,
19,TUE 1,2005-01-05 03:45,英格蘭超級聯賽,阿仙奴,曼城,1.2594,5.0326,9.8406,1.2618,5.0169,9.8318,---,---,---,1.25,4.50,10.00,0.0277,0.0220,0.3850,0.0765,1.1723,0.1191,0.0302,0.0239,0.3898,0.0777,1.1706,0.1191,,,,,,,---,---,---,2.5,1.70,2.02,,,,,,,,0 , 1,1 , 1,D,
20,TUE 2,2005-01-05 03:45,英格蘭超級聯賽,伯明翰,保頓,1.8318,3.2830,4.0632,1.8329,3.2877,4.0708,---,---,---,1.90,3.25,3.50,0.0539,0.0294,0.0786,0.0239,0.3011,0.0741,0.0549,0.0300,0.0849,0.0258,0.3067,0.0753,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 1,1 , 2,A,
21,TUE 3,2005-01-05 03:45,英格蘭超級聯賽,車路士,米杜士堡,1.3575,4.1285,8.3131,1.3496,4.1801,8.4448,---,---,---,1.30,4.10,9.00,0.0396,0.0292,0.2660,0.0644,1.0453,0.1257,0.0379,0.0281,0.2983,0.0714,1.0706,0.1268,,,,,,,---,---,---,2.5,1.88,1.82,,,,,,,,2 , 0,2 , 0,H,
22,TUE 4,2005-01-05 04:00,英格蘭超級聯賽,愛華頓,樸茨茅夫,1.7458,3.3062,4.4595,1.7500,3.3007,4.4691,---,---,---,1.83,3.20,3.80,0.0675,0.0386,0.1512,0.0457,0.3706,0.0831,0.0689,0.0394,0.1510,0.0457,0.3804,0.0851,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,1 , 1,2 , 1,H,
23,TUE 5,2005-01-05 04:00,英格蘭超級聯賽,曼聯,熱刺,1.4083,3.9495,7.3564,1.4083,3.9567,7.3674,---,---,---,1.36,3.90,7.50,0.0366,0.0260,0.2514,0.0636,0.7008,0.0953,0.0386,0.0274,0.2650,0.0670,0.6550,0.0889,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,0 , 0,D,
24,TUE 6,2005-01-05 04:00,英格蘭冠軍聯賽,韋根,狼隊,1.6717,3.3812,4.5904,1.6690,3.3944,4.6158,---,---,---,1.67,3.35,4.50,0.0491,0.0294,0.1432,0.0423,0.3551,0.0773,0.0471,0.0282,0.1586,0.0467,0.3656,0.0792,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,2 , 0,2 , 0,H,
25,WED 1,2005-01-06 04:00,英格蘭超級聯賽,修咸頓,富咸,2.3225,3.1674,2.8177,2.3262,3.1764,2.8264,---,---,---,2.30,3.10,2.75,0.0862,0.0371,0.1590,0.0502,0.1236,0.0439,0.0887,0.0382,0.1665,0.0524,0.1449,0.0513,---,---,---,0/-0.5,2.05,1.80,---,---,---,2.5,2.18,1.60,,,,,,,,2 , 2,3 , 3,D,
26,THU 1,2005-01-06 22:00,意大利甲組聯賽,AC米蘭,萊切,1.2669,4.6149,9.6788,1.2673,4.6387,9.6832,---,---,---,1.01,11.00,301.00,0.0361,0.0285,0.3994,0.0865,1.0952,0.1132,0.0357,0.0282,0.4070,0.0877,1.0767,0.1112,,,,,,,---,---,---,2.5,1.53,2.33,,,,,,,,2 , 0,5 , 2,H,
27,THU 2,2005-01-06 22:00,意大利甲組聯賽,阿特蘭大,費倫天拿,2.8872,2.8400,2.4315,2.8662,2.8471,2.4585,---,---,---,2.50,2.80,2.75,0.1145,0.0397,0.1335,0.0470,0.1032,0.0425,0.1087,0.0379,0.1358,0.0477,0.1432,0.0583,---,---,---,0,1.88,1.96,---,---,---,2.5,2.29,1.55,,,,,,,,0 , 0,1 , 0,H,
28,THU 3,2005-01-06 22:00,意大利甲組聯賽,布雷西亞,博洛尼亞,2.2008,2.8576,3.2733,2.2229,2.8428,3.2659,---,---,---,2.30,2.85,3.00,0.0876,0.0398,0.1320,0.0462,0.1598,0.0488,0.1052,0.0473,0.1362,0.0479,0.1614,0.0494,---,---,---,0/-0.5,2.02,1.82,---,---,---,2.5,2.28,1.55,,,,,,,,0 , 1,1 , 1,D,
29,THU 4,2005-01-06 22:00,意大利甲組聯賽,卡利亞里,墨西拿,1.7913,3.0207,4.5272,1.7901,3.0330,4.5538,---,---,---,1.75,3.10,4.35,0.0467,0.0260,0.1445,0.0478,0.4304,0.0951,0.0465,0.0260,0.1481,0.0488,0.4664,0.1024,,,,,,,---,---,---,2.5,1.75,1.95,,,,,,,,0 , 1,2 , 1,H,
30,THU 5,2005-01-06 22:00,意大利甲組聯賽,基爾禾,錫耶納,1.7531,3.0504,4.7519,1.7588,3.0526,4.7566,---,---,---,1.80,3.00,4.25,0.0534,0.0305,0.1281,0.0420,0.3909,0.0823,0.0594,0.0338,0.1325,0.0434,0.4072,0.0856,,,,,,,---,---,---,2.5,2.15,1.62,,,,,,,,0 , 1,1 , 3,A,
31,THU 6,2005-01-06 22:00,意大利甲組聯賽,利禾奴,國際米蘭,4.8826,3.0343,1.7445,4.9388,3.0465,1.7368,---,---,---,4.25,3.20,1.75,0.5263,0.1078,0.1712,0.0564,0.0700,0.0401,0.5097,0.1032,0.1805,0.0593,0.0659,0.0379,,,,,,,---,---,---,2.5,1.75,1.95,,,,,,,,0 , 1,0 , 2,A,
32,THU 7,2005-01-06 22:00,意大利甲組聯賽,帕爾馬,祖雲達斯,5.5549,3.2455,1.6117,5.6262,3.2686,1.6057,---,---,---,6.00,3.45,1.50,0.5524,0.0994,0.1423,0.0438,0.0500,0.0310,0.6207,0.1103,0.1520,0.0465,0.0465,0.0290,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,1 , 1,D,
33,THU 8,2005-01-06 22:00,意大利甲組聯賽,里賈納,巴勒莫,2.3192,2.8257,3.0955,2.3206,2.8206,3.1135,---,---,---,2.10,2.80,3.45,0.0912,0.0393,0.1293,0.0457,0.2038,0.0658,0.0899,0.0388,0.1249,0.0443,0.2226,0.0715,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,1 , 0,1 , 0,H,
34,THU 9,2005-01-06 22:00,意大利甲組聯賽,森多利亞,烏甸尼斯,2.3365,2.8478,3.0264,2.3553,2.8362,3.0181,---,---,---,2.45,2.75,2.85,0.0774,0.0331,0.1324,0.0465,0.1419,0.0469,0.0957,0.0407,0.1251,0.0441,0.1490,0.0494,---,---,---,0,1.77,2.08,---,---,---,2.5,2.29,1.55,,,,,,,,0 , 0,2 , 0,H,
35,THU 10,2005-01-07 03:30,意大利甲組聯賽,拉素,羅馬,3.1466,2.8846,2.2630,3.1732,2.8958,2.2472,---,---,---,3.60,3.00,1.95,0.2133,0.0678,0.1450,0.0503,0.0950,0.0420,0.2112,0.0665,0.1472,0.0508,0.0908,0.0404,---,---,---,0/+0.5,1.98,1.86,---,---,---,2.5,1.90,1.80,,,,,,,,1 , 0,3 , 1,H,
36,FRI 1,2005-01-08 02:00,法國足總盃,里爾,勒芒,1.3322,4.0131,8.2314,1.3322,4.0151,8.2216,---,---,---,1.33,3.90,8.25,0.0267,0.0200,0.2376,0.0592,0.9860,0.1198,0.0267,0.0200,0.2362,0.0588,0.9808,0.1193,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,1 , 0,2 , 1,H,
37,FRI 2,2005-01-08 02:15,法國足總盃,色當,斯特拉斯堡,---,---,---,2.25,2.80,3.05,,,,,,,/,,/,,/,,/,,/,,/,,,,,,,,---,---,---,2.5,2.40,1.50,,,,,,,,1 , 0,3 , 1,H,
38,FRI 3,2005-01-08 03:00,法國足總盃,南錫,阿些斯奧,2.1711,2.8917,3.1453,2.1694,2.8936,3.1453,---,---,---,1.95,3.05,3.50,0.0575,0.0265,0.0966,0.0334,0.1663,0.0529,0.0574,0.0264,0.0977,0.0338,0.1663,0.0529,,,,,,,---,---,---,2.5,2.28,1.55,,,,,,,,0 , 0,1 , 1,D,
39,FRI 5,2005-01-08 04:00,法國足總盃,雷恩,比斯特,1.5138,3.3804,5.9862,1.5144,3.3785,5.9862,---,---,---,1.50,3.25,6.50,0.0288,0.0190,0.1453,0.0430,0.6489,0.1084,0.0290,0.0191,0.1457,0.0431,0.6489,0.1084,,,,,,,---,---,---,2.5,2.29,1.55,,,,,,,,0 , 0,0 , 0,D,
40,SAT 1,2005-01-08 20:30,英格蘭足總盃,錫菲聯,阿士東維拉,3.1518,3.1695,2.1009,3.1471,3.1703,2.1053,---,---,---,3.50,2.30,2.50,0.2384,0.0756,0.1735,0.0547,0.1256,0.0598,0.2355,0.0748,0.1735,0.0547,0.1282,0.0609,---,---,---,0/+0.5,1.83,2.00,---,---,---,2.5,2.15,1.62,,,,,,,,0 , 0,3 , 1,H,
41,SAT 2,2005-01-08 21:00,英格蘭足總盃,狼隊,米禾爾,2.2492,3.1582,2.8684,2.2504,3.1522,2.8651,---,---,---,2.00,3.15,3.25,0.1019,0.0453,0.1836,0.0581,0.2017,0.0703,0.0948,0.0421,0.1838,0.0583,0.1997,0.0697,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,2 , 0,2 , 0,H,
42,SAT 3,2005-01-08 22:00,法國足總盃,米盧斯,卡昂,---,---,---,7.00,3.70,1.40,,,,,,,/,,/,,/,,/,,/,,/,,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,0 , 2,A,
43,SAT 4,2005-01-08 22:00,法國足總盃,查蒂爾昂,里昂,---,---,---,15.00,6.50,1.10,,,,,,,/,,/,,/,,/,,/,,/,,,,,,,,---,---,---,2.5,1.55,2.29,,,,,,,,0 , 1,0 , 2,A,
44,SAT 5,2005-01-08 23:00,英格蘭足總盃,伯明翰,列斯聯,1.4855,3.5983,6.1891,1.4866,3.6105,6.2241,---,---,---,1.50,3.45,6.00,0.0702,0.0473,0.2250,0.0625,0.6340,0.1024,0.0707,0.0476,0.2326,0.0644,0.6473,0.1040,,,,,,,---,---,---,2.5,1.92,1.78,,,,,,,,2 , 0,3 , 0,H,
