,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AV角球數,,,,,BA賽果HAD,BB賠率
0,THU 1,2009-01-01 13:00,日本天皇盃,大阪飛腳,柏雷素爾,1.8768,3.2606,3.6815,1.8369,3.2951,3.7968,---,---,---,1.80,3.55,3.50,0.0672,0.0358,0.0955,0.0293,0.3358,0.0912,0.0819,0.0446,0.1814,0.0550,0.3164,0.0833,,,,,,,---,---,---,2.5,1.75,1.95,,,,,,,,0 , 0,0 , 0,D,
1,FRI 1,2009-01-02 17:00,澳洲職業聯賽,墨爾本勝利,布里斯班獅吼,2.1401,3.2160,3.0706,2.1364,3.2147,3.0959,---,---,---,1.95,3.35,3.20,0.1745,0.0815,0.0795,0.0247,0.2250,0.0733,0.1595,0.0747,0.0943,0.0293,0.2024,0.0654,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,2 , 1,H,
2,FRI 2,2009-01-03 03:45,法國足總盃,聖熱納維耶沃,里爾,8.1380,4.1147,1.3506,8.0774,4.1374,1.3518,---,---,---,10.00,4.50,1.25,1.0962,0.1347,0.3053,0.0742,0.0418,0.0310,1.0645,0.1318,0.2385,0.0576,0.0373,0.0276,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 1,0 , 3,A,
3,FRI 3,2009-01-03 04:00,英格蘭足總盃,熱刺,韋根,1.8102,3.3113,4.0501,1.7856,3.3495,4.2669,---,---,---,1.70,3.30,4.50,0.1211,0.0669,0.1350,0.0408,0.3570,0.0882,0.0806,0.0452,0.1401,0.0418,0.4033,0.0945,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 0,3 , 1,H,
4,FRI 4,2009-01-03 04:30,葡萄牙超級聯賽,科英布拉大學,歷索斯,2.5340,2.9306,2.7036,2.5497,2.9282,2.7192,---,---,---,2.55,2.80,2.68,0.1030,0.0406,0.1000,0.0341,0.1280,0.0473,0.1052,0.0413,0.0890,0.0304,0.1299,0.0478,---,---,---,0,1.87,1.97,---,---,---,2.5,2.65,1.42,,,,,,,,0 , 0,0 , 0,D,
5,SAT 1,2009-01-03 17:00,澳洲職業聯賽,阿德萊德聯,FC悉尼,1.8107,3.3130,3.9884,1.8213,3.3130,3.9685,---,---,---,1.75,3.65,3.60,0.0668,0.0369,0.1389,0.0419,0.2862,0.0718,0.0845,0.0464,0.1049,0.0317,0.2601,0.0655,,,,,,,---,---,---,2.5,1.75,1.95,,,,,,,,1 , 0,2 , 0,H,
6,SAT 2,2009-01-03 20:30,蘇格蘭超級聯賽,赫斯,喜伯年,1.9567,3.2425,3.5634,1.9698,3.2536,3.5936,---,---,---,2.05,3.15,3.10,0.0669,0.0342,0.1080,0.0333,0.2366,0.0664,0.0704,0.0358,0.1079,0.0332,0.2616,0.0728,,,,,,,---,---,---,2.5,2.15,1.62,,,,,,,,0 , 0,0 , 0,D,
7,SAT 3,2009-01-03 21:00,英格蘭足總盃,哈特普爾,史篤城,3.8423,3.3120,1.8571,3.2685,3.2040,2.1227,---,---,---,3.05,3.25,2.05,0.2460,0.0640,0.0939,0.0283,0.1033,0.0556,0.3097,0.0948,0.0852,0.0266,0.2171,0.1023,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 0,2 , 0,H,
8,SAT 4,2009-01-03 21:30,法國足總盃,伊澤爾,勒芒,5.9516,3.6336,1.4876,6.1027,3.6513,1.4796,---,---,---,5.80,3.65,1.48,0.5207,0.0875,0.1497,0.0412,0.0337,0.0227,0.5238,0.0858,0.1303,0.0357,0.0501,0.0339,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,0 , 0,D,
