,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
9,SAT 5,2009-01-03 22:00,法國足總盃,阿爾弗維利,勒哈弗爾,5.2080,3.3000,1.6320,5.3720,3.2800,1.6220,---,---,---,4.65,3.20,1.68,0.8272,0.1588,0.0632,0.0192,0.0264,0.0162,0.8342,0.1553,0.0748,0.0228,0.0417,0.0257,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 1,0 , 2,A,
10,SAT 6,2009-01-03 23:00,英格蘭足總盃,阿仙奴,普利茅夫,1.1962,5.5764,11.8908,1.1945,5.6910,12.5777,---,---,---,1.16,5.50,13.00,0.0267,0.0223,0.4586,0.0822,2.1787,0.1832,0.0260,0.0217,0.5423,0.0953,2.9810,0.2370,,,,,,,---,---,---,2.5,1.68,2.05,,,,,,,,0 , 0,3 , 1,H,
11,SAT 8,2009-01-03 23:00,英格蘭足總盃,卡迪夫城,雷丁,2.3771,3.2079,2.6905,2.1577,3.2186,3.1249,---,---,---,2.10,3.20,3.00,0.0809,0.0340,0.1425,0.0444,0.1330,0.0494,0.1011,0.0468,0.1354,0.0421,0.3471,0.1111,---,---,---,0/-0.5,1.77,2.09,---,---,---,2.5,1.92,1.78,,,,,,,,0 , 0,2 , 0,H,
12,SAT 9,2009-01-03 23:00,英格蘭足總盃,查爾頓,諾域治,2.2480,3.2087,2.8755,2.2696,3.2227,2.8901,---,---,---,2.20,3.25,2.78,0.0928,0.0413,0.1406,0.0438,0.1308,0.0455,0.0954,0.0421,0.1318,0.0409,0.1316,0.0455,,,,,,,---,---,---,2.5,1.88,1.82,,,,,,,,1 , 0,1 , 1,D,
13,SAT 10,2009-01-03 23:00,英格蘭足總盃,車路士,修安聯,1.0928,7.6159,18.6429,1.0907,8.0238,21.0125,---,---,---,1.05,8.00,25.00,0.0205,0.0187,0.9864,0.1295,4.5008,0.2414,0.0181,0.0166,1.2848,0.1601,6.9601,0.3312,,,,,,,---,---,---,2.5,1.38,2.80,,,,,,,,1 , 0,1 , 1,D,
14,SAT 12,2009-01-03 23:00,英格蘭足總盃,高雲地利,京達米士特,1.3755,4.1654,7.4956,1.4013,4.1156,7.2480,---,---,---,1.35,4.20,7.00,0.0370,0.0269,0.2384,0.0572,0.8665,0.1156,0.0505,0.0361,0.1822,0.0443,0.7251,0.1000,,,,,,,---,---,---,2.5,1.75,1.95,,,,,,,,0 , 0,2 , 0,H,
15,SAT 13,2009-01-03 23:00,英格蘭足總盃,格連森林,打比郡,4.8800,3.4932,1.6368,4.7240,3.4844,1.6777,---,---,---,4.35,3.50,1.65,0.3006,0.0616,0.1346,0.0385,0.0584,0.0357,0.3106,0.0658,0.1320,0.0379,0.0699,0.0417,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,2 , 2,3 , 4,A,
16,SAT 15,2009-01-03 23:00,英格蘭足總盃,侯城,紐卡素,2.2984,3.2046,2.8023,2.2622,3.2148,2.9112,---,---,---,2.15,3.40,2.82,0.0812,0.0353,0.1438,0.0449,0.1183,0.0422,0.0668,0.0295,0.1503,0.0467,0.1763,0.0606,---,---,---,0/-0.5,1.97,1.87,---,---,---,2.5,1.78,1.92,,,,,,,,0 , 0,0 , 0,D,
17,SAT 16,2009-01-03 23:00,英格蘭足總盃,葉士域治,車士打菲特,1.2549,4.9785,10.0510,1.2971,4.9578,9.9390,---,---,---,1.28,4.50,8.50,0.1029,0.0820,0.8349,0.1677,2.4627,0.2450,0.2742,0.2114,0.8325,0.1679,2.6722,0.2689,,,,,,,---,---,---,2.5,1.68,2.05,,,,,,,,0 , 0,3 , 0,H,
18,SAT 17,2009-01-03 23:00,英格蘭足總盃,基特寧,伊斯活特,1.5624,3.6057,5.5328,1.5631,3.6159,5.5728,---,---,---,1.55,3.50,5.20,0.0459,0.0294,0.1620,0.0449,0.3862,0.0698,0.0422,0.0270,0.1603,0.0443,0.3424,0.0614,,,,,,,---,---,---,2.5,1.82,1.88,,,,,,,,1 , 0,2 , 1,H,
19,SAT 18,2009-01-03 23:00,英格蘭足總盃,李斯特城,水晶宮,2.5444,3.1740,2.5252,2.3570,3.1687,2.8170,---,---,---,2.15,3.20,2.90,0.0865,0.0340,0.1257,0.0396,0.1011,0.0400,0.1077,0.0457,0.1186,0.0374,0.2947,0.1046,---,---,---,0/-0.5,1.97,1.87,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,0 , 0,D,
20,SAT 20,2009-01-03 23:00,英格蘭足總盃,馬爾斯菲,愛華頓,8.6636,4.4976,1.3127,8.9989,4.5950,1.3062,---,---,---,8.50,4.50,1.28,1.5244,0.1760,0.3575,0.0795,0.0404,0.0308,1.4615,0.1624,0.4211,0.0916,0.0329,0.0252,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,0 , 1,0 , 1,A,
21,SAT 21,2009-01-03 23:00,英格蘭足總盃,曼城,諾定咸森林,1.3159,4.4287,8.5142,1.3175,4.4789,8.6942,---,---,---,1.25,4.75,9.00,0.0410,0.0312,0.2787,0.0629,0.8853,0.1040,0.0399,0.0303,0.3039,0.0679,0.9471,0.1089,,,,,,,---,---,---,2.5,1.65,2.10,,,,,,,,0 , 2,0 , 3,A,
22,SAT 22,2009-01-03 23:00,英格蘭足總盃,米杜士堡,巴羅,1.1501,6.4336,13.7079,1.1511,6.5986,14.0821,---,---,---,1.10,6.50,17.00,0.0258,0.0225,0.6048,0.0940,2.2161,0.1617,0.0236,0.0205,0.7492,0.1135,2.4065,0.1709,,,,,,,---,---,---,2.5,1.52,2.35,,,,,,,,1 , 0,2 , 1,H,
23,SAT 23,2009-01-03 23:00,英格蘭足總盃,米禾爾,克魯,1.4901,3.6754,6.2616,1.4986,3.7132,6.2805,---,---,---,1.42,3.90,6.25,0.0422,0.0283,0.1890,0.0514,0.6452,0.1030,0.0410,0.0274,0.2117,0.0570,0.6490,0.1033,,,,,,,---,---,---,2.5,1.82,1.88,,,,,,,,2 , 1,2 , 2,D,
24,SAT 24,2009-01-03 23:00,英格蘭足總盃,樸茨茅夫,布里斯托城,1.5434,3.5960,5.6529,1.7192,3.4087,4.6397,---,---,---,1.80,3.35,3.75,0.0684,0.0443,0.1519,0.0422,0.4966,0.0879,0.1623,0.0944,0.1621,0.0476,0.5605,0.1208,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,0 , 0,D,
25,SAT 25,2009-01-03 23:00,英格蘭足總盃,昆士柏流浪,般尼,2.1472,3.2189,3.0595,2.1141,3.2186,3.2033,---,---,---,2.10,3.20,3.00,0.0765,0.0356,0.1144,0.0356,0.1350,0.0441,0.1046,0.0495,0.1012,0.0315,0.2062,0.0644,---,---,---,0/-0.5,1.97,1.87,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,0 , 0,D,
26,SAT 26,2009-01-03 23:00,英格蘭足總盃,錫周三,富咸,3.1587,3.2150,2.1016,3.2033,3.2186,2.1111,---,---,---,3.10,3.10,2.10,0.1674,0.0530,0.1184,0.0368,0.0729,0.0347,0.1674,0.0523,0.1245,0.0387,0.0887,0.0420,,,,,,,---,---,---,2.5,2.15,1.62,,,,,,,,1 , 1,1 , 2,A,
27,SAT 27,2009-01-03 23:00,英格蘭足總盃,新特蘭,保頓,2.2221,3.1901,2.9408,2.2339,3.2001,2.9672,---,---,---,2.20,3.10,2.95,0.0797,0.0359,0.1226,0.0384,0.1506,0.0512,0.0790,0.0354,0.1328,0.0415,0.1603,0.0540,---,---,---,0/-0.5,2.00,1.84,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 0,2 , 1,H,
28,SAT 28,2009-01-03 23:00,英格蘭足總盃,托基聯,黑池,3.6566,3.2896,1.9043,3.1361,3.2205,2.1740,---,---,---,3.10,3.10,2.10,0.1757,0.0480,0.1279,0.0389,0.0849,0.0446,0.2452,0.0782,0.0834,0.0259,0.1983,0.0912,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,1 , 0,1 , 0,H,
29,SAT 29,2009-01-03 23:00,英格蘭足總盃,屈福特,斯肯索普,1.7952,3.3333,4.0422,1.8407,3.3326,3.9491,---,---,---,1.85,3.30,3.60,0.0647,0.0360,0.1494,0.0448,0.2218,0.0549,0.0962,0.0523,0.1207,0.0362,0.2105,0.0533,,,,,,,---,---,---,2.5,1.80,1.90,,,,,,,,0 , 0,1 , 0,H,
30,SAT 30,2009-01-03 23:00,英格蘭足總盃,西布朗,彼德堡,1.5061,3.6655,6.0345,1.5880,3.5706,5.3927,---,---,---,1.57,3.60,4.80,0.0465,0.0308,0.1571,0.0429,0.4487,0.0744,0.0879,0.0554,0.1298,0.0364,0.4374,0.0811,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,0 , 0,1 , 1,D,
31,SAT 31,2009-01-03 23:00,英格蘭足總盃,韋斯咸,班士利,1.4738,3.7151,6.4381,1.4671,3.7820,6.6265,---,---,---,1.40,3.80,7.00,0.0546,0.0370,0.1744,0.0469,0.6230,0.0968,0.0440,0.0300,0.2181,0.0577,0.6558,0.0990,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,2 , 0,3 , 0,H,
32,SAT 36,2009-01-03 23:00,英格蘭甲組聯賽,哈特斯菲爾德,奧咸,2.3636,3.1936,2.6973,2.3984,3.1951,2.6975,---,---,---,2.30,3.25,2.62,0.0962,0.0407,0.1079,0.0338,0.1019,0.0378,0.1114,0.0464,0.1033,0.0323,0.1005,0.0372,---,---,---,0,1.88,1.96,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 1,1 , 1,D,
33,SAT 37,2009-01-03 23:00,蘇格蘭超級聯賽,些路迪,登地聯,1.3273,4.4374,8.1987,1.3480,4.3697,8.0193,---,---,---,1.33,4.40,7.00,0.0370,0.0279,0.2848,0.0642,0.7667,0.0935,0.0482,0.0357,0.2349,0.0538,0.7093,0.0884,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,1 , 0,2 , 2,D,
34,SAT 38,2009-01-03 23:00,蘇格蘭超級聯賽,福爾柯克,基爾馬諾克,2.3594,3.1772,2.7476,2.3755,3.1916,2.7620,---,---,---,2.25,3.10,2.80,0.1009,0.0428,0.1282,0.0403,0.1236,0.0450,0.0967,0.0407,0.1065,0.0334,0.1330,0.0482,,,,,,,---,---,---,2.5,2.19,1.60,,,,,,,,1 , 0,1 , 1,D,
35,SAT 39,2009-01-03 23:00,蘇格蘭超級聯賽,咸美頓,鴨巴甸,3.1869,3.2164,2.0974,3.2152,3.2344,2.0999,---,---,---,2.85,3.25,2.15,0.2493,0.0782,0.1067,0.0332,0.0808,0.0385,0.1940,0.0603,0.1081,0.0334,0.0661,0.0315,,,,,,,---,---,---,2.5,2.15,1.62,,,,,,,,0 , 0,2 , 0,H,
36,SAT 40,2009-01-03 23:00,蘇格蘭超級聯賽,聖美倫,馬瑟韋爾,2.1970,3.1931,2.9991,2.2483,3.1998,2.9622,---,---,---,2.20,3.15,2.85,0.1108,0.0504,0.1222,0.0383,0.1927,0.0643,0.1168,0.0520,0.0933,0.0291,0.1550,0.0523,,,,,,,---,---,---,2.5,2.25,1.57,,,,,,,,0 , 0,0 , 0,D,
37,SAT 41,2009-01-04 00:00,法國足總盃,羅恩,格勒諾布爾,5.3453,3.4679,1.5616,5.4540,3.4924,1.5589,---,---,---,5.50,3.40,1.55,0.4179,0.0782,0.1361,0.0392,0.0284,0.0182,0.4330,0.0794,0.1429,0.0409,0.0254,0.0163,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 0,0 , 0,D,
38,SAT 42,2009-01-04 01:00,法國足總盃,阿倫干,羅連安特,7.9637,3.9464,1.3671,7.8518,3.9692,1.3685,---,---,---,7.50,4.50,1.30,0.9086,0.1141,0.2607,0.0660,0.0291,0.0213,0.8552,0.1089,0.2433,0.0613,0.0355,0.0260,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,2 , 2,D,
39,SAT 43,2009-01-04 01:25,英格蘭足總盃,普雷斯頓,利物浦,6.7122,3.8403,1.4438,7.0881,3.9622,1.4293,---,---,---,6.50,3.90,1.40,0.6483,0.0966,0.2446,0.0637,0.0460,0.0319,0.8875,0.1252,0.2925,0.0738,0.0392,0.0274,,,,,,,---,---,---,2.5,1.87,1.83,,,,,,,,0 , 1,0 , 2,A,
40,SAT 44,2009-01-04 02:15,葡萄牙超級聯賽,里奧艾維,甘馬雷斯,2.5731,2.9125,2.6670,2.5860,2.9205,2.6888,---,---,---,2.65,2.70,2.65,0.1023,0.0397,0.1021,0.0350,0.0841,0.0316,0.1026,0.0397,0.0963,0.0330,0.0948,0.0353,---,---,---,0,1.90,1.94,---,---,---,2.5,2.80,1.38,,,,,,,,2 , 2,2 , 4,A,
41,SAT 45,2009-01-04 03:00,西班牙甲組聯賽,巴塞隆拿,馬略卡,1.1665,6.2134,13.9860,1.1724,6.2403,14.0916,---,---,---,1.15,5.70,13.00,0.0294,0.0252,0.7639,0.1229,2.6973,0.1929,0.0303,0.0259,0.6915,0.1108,2.5323,0.1797,,,,,,,---,---,---,3.5,2.15,1.62,,,,,,,,1 , 1,3 , 1,H,
42,SAT 46,2009-01-04 04:00,法國足總盃,阿些斯奧,歐塞爾,3.1426,2.9540,2.1862,3.1118,2.9597,2.2154,---,---,---,2.90,3.00,2.25,0.1811,0.0576,0.0721,0.0244,0.0867,0.0397,0.1587,0.0510,0.0781,0.0264,0.1085,0.0490,---,---,---,0/+0.5,1.80,2.04,---,---,---,2.5,2.35,1.52,,,,,,,,1 , 1,1 , 1,D,
43,SAT 47,2009-01-04 04:00,法國足總盃,阿拉斯,尼斯,7.5870,3.8623,1.3846,7.5940,3.9036,1.3926,---,---,---,7.00,4.00,1.37,0.7043,0.0928,0.2679,0.0693,0.0401,0.0290,0.8907,0.1173,0.2024,0.0519,0.0520,0.0373,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,1 , 1,D,
44,SAT 48,2009-01-04 04:00,法國足總盃,波爾多,聖伊天,1.7441,3.2072,4.4494,1.7825,3.1870,4.2857,---,---,---,1.70,3.20,4.50,0.1055,0.0605,0.1594,0.0497,0.4103,0.0922,0.0909,0.0510,0.1329,0.0417,0.3792,0.0885,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 0,0 , 1,A,
45,SAT 50,2009-01-04 04:00,法國足總盃,南特,卡昂,2.1886,2.9146,3.1773,2.1644,2.9288,3.2773,---,---,---,2.10,3.00,3.20,0.0836,0.0382,0.0750,0.0257,0.1841,0.0579,0.0884,0.0409,0.0859,0.0293,0.2762,0.0843,,,,,,,---,---,---,2.5,2.25,1.57,,,,,,,,0 , 1,1 , 1,D,
46,SAT 51,2009-01-04 04:00,法國足總盃,羅莫朗坦,南錫,5.6065,3.4864,1.5399,5.0951,3.3875,1.6280,---,---,---,4.50,3.40,1.65,0.4506,0.0804,0.1666,0.0478,0.0410,0.0266,0.5225,0.1025,0.1366,0.0403,0.0990,0.0608,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 0,0 , 0,D,
47,SAT 52,2009-01-04 04:00,法國足總盃,索察,雷恩,2.9116,2.8862,2.3595,2.9110,2.8873,2.3895,---,---,---,2.85,2.82,2.40,0.1772,0.0609,0.0779,0.0270,0.1099,0.0466,0.1563,0.0537,0.0798,0.0277,0.1114,0.0466,---,---,---,0,2.08,1.77,---,---,---,2.5,2.55,1.45,,,,,,,,0 , 1,0 , 1,A,
48,SAT 53,2009-01-04 04:00,法國足總盃,圖盧茲,華倫西恩斯,1.6936,3.2180,4.7143,1.6944,3.2290,4.7938,---,---,---,1.70,3.10,4.75,0.0531,0.0314,0.1031,0.0321,0.3930,0.0834,0.0566,0.0334,0.1044,0.0323,0.4646,0.0969,,,,,,,---,---,---,2.5,2.40,1.50,,,,,,,,0 , 0,0 , 0,D,
49,SAT 54,2009-01-04 04:45,葡萄牙超級聯賽,塞圖巴爾,士砵亭,4.8081,3.3699,1.6629,4.8442,3.4018,1.6682,---,---,---,5.30,3.25,1.60,0.4411,0.0917,0.1427,0.0424,0.0475,0.0286,0.4941,0.1020,0.1621,0.0477,0.0902,0.0541,,,,,,,---,---,---,2.5,2.33,1.53,,,,,,,,0 , 2,0 , 2,A,
50,SAT 55,2009-01-04 05:00,西班牙甲組聯賽,華倫西亞,馬德里體育會,2.1438,3.2128,3.1676,2.1406,3.2266,3.2546,---,---,---,2.00,3.40,3.05,0.0698,0.0326,0.1624,0.0506,0.1698,0.0536,0.0994,0.0464,0.1573,0.0487,0.2280,0.0700,---,---,---,0/-0.5,1.82,2.03,---,---,---,2.5,1.62,2.15,,,,,,,,2 , 1,3 , 1,H,
51,SUN 1,2009-01-04 14:00,澳洲職業聯賽,威靈頓鳳凰,紐卡素噴射機,1.8563,3.2844,3.8206,1.8775,3.2802,3.7711,---,---,---,1.95,3.30,3.25,0.0781,0.0421,0.0787,0.0240,0.2365,0.0619,0.0977,0.0521,0.0950,0.0290,0.2242,0.0595,---,---,---,0/-0.5,1.80,2.05,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,3 , 0,H,
52,SUN 2,2009-01-04 20:30,蘇格蘭超級聯賽,恩華尼斯,格拉斯哥流浪,7.6887,4.2276,1.3627,8.2526,4.3512,1.3491,---,---,---,6.90,4.20,1.35,0.6578,0.0856,0.2417,0.0572,0.0409,0.0300,1.3500,0.1636,0.2731,0.0628,0.0342,0.0253,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,0 , 0,0 , 3,A,
53,SUN 3,2009-01-04 21:30,英格蘭足總盃,基寧咸,阿士東維拉,7.4627,4.1342,1.3838,7.9984,4.2471,1.3681,---,---,---,7.50,4.50,1.30,0.7347,0.0984,0.2627,0.0635,0.0458,0.0331,1.0839,0.1355,0.2847,0.0670,0.0369,0.0270,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,0 , 1,1 , 2,A,
54,SUN 4,2009-01-04 21:45,法國足總盃,布拉尼亞克,摩納哥,6.7528,3.7444,1.4395,6.8245,3.7568,1.4400,---,---,---,7.50,4.00,1.35,0.6688,0.0990,0.1677,0.0448,0.0427,0.0297,0.6452,0.0945,0.1894,0.0504,0.0339,0.0236,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 1,0 , 1,A,
55,SUN 5,2009-01-05 00:00,英格蘭足總盃,修咸頓,曼聯,9.5797,4.9334,1.2612,9.8321,4.9993,1.2653,---,---,---,10.00,5.25,1.20,1.1543,0.1205,0.4148,0.0841,0.0334,0.0265,1.4108,0.1435,0.4423,0.0885,0.0334,0.0264,,,,,,,---,---,---,2.5,1.65,2.10,,,,,,,,0 , 1,0 , 3,A,
56,SUN 6,2009-01-05 00:00,西班牙甲組聯賽,艾美利亞,貝迪斯,2.3219,3.1633,2.8870,2.3503,3.1594,2.8870,---,---,---,2.20,3.20,2.80,0.0759,0.0327,0.1512,0.0478,0.1379,0.0478,0.0852,0.0363,0.1483,0.0469,0.1476,0.0511,---,---,---,0/-0.5,1.97,1.87,---,---,---,2.5,2.05,1.68,,,,,,,,1 , 0,1 , 0,H,
57,SUN 7,2009-01-05 00:00,西班牙甲組聯賽,畢爾包,愛斯賓奴,1.8539,3.2791,4.0047,1.8304,3.3252,4.1500,---,---,---,1.80,3.20,3.90,0.0611,0.0329,0.1536,0.0468,0.2844,0.0710,0.0527,0.0288,0.1761,0.0530,0.3293,0.0794,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 1,1 , 1,D,
58,SUN 8,2009-01-05 00:00,西班牙甲組聯賽,馬拉加,希杭,1.9343,3.2008,3.7716,1.9091,3.1953,3.9821,---,---,---,1.85,3.25,3.65,0.0604,0.0312,0.1535,0.0480,0.2619,0.0694,0.0553,0.0289,0.1504,0.0471,0.4078,0.1024,,,,,,,---,---,---,2.5,1.75,1.95,,,,,,,,1 , 0,1 , 0,H,
59,SUN 9,2009-01-05 00:00,西班牙甲組聯賽,皇家馬德里,維拉利爾,1.7625,3.4163,4.2978,1.7198,3.4790,4.5963,---,---,---,1.68,3.70,3.90,0.0513,0.0291,0.2109,0.0617,0.2943,0.0685,0.0500,0.0291,0.2137,0.0614,0.3881,0.0844,,,,,,,---,---,---,2.5,1.54,2.30,,,,,,,,1 , 0,1 , 0,H,
60,SUN 10,2009-01-05 00:00,西班牙甲組聯賽,維爾瓦,紐文西亞,2.0634,3.2078,3.3679,2.0592,3.2121,3.4426,---,---,---,2.00,3.15,3.30,0.0693,0.0336,0.1378,0.0429,0.2124,0.0631,0.0668,0.0324,0.1394,0.0434,0.2362,0.0686,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,1 , 0,3 , 1,H,
61,SUN 11,2009-01-05 00:00,西班牙甲組聯賽,華拉度列,桑坦德,1.9789,3.2417,3.5707,1.9997,3.2482,3.5815,---,---,---,1.95,3.30,3.25,0.0735,0.0371,0.1402,0.0432,0.2050,0.0574,0.0874,0.0437,0.1388,0.0427,0.1952,0.0545,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 0,0 , 1,A,
62,SUN 12,2009-01-05 00:00,葡萄牙超級聯賽,艾馬多拉,拿華,2.2514,2.9603,3.0741,2.2879,2.9716,3.0586,---,---,---,2.35,2.85,2.88,0.1020,0.0453,0.1274,0.0430,0.1709,0.0556,0.1308,0.0572,0.0870,0.0293,0.1383,0.0452,---,---,---,0/-0.5,2.15,1.73,---,---,---,2.5,2.55,1.45,,,,,,,,1 , 0,1 , 0,H,
63,SUN 13,2009-01-05 00:00,葡萄牙超級聯賽,馬里迪莫,費利拿,1.7418,3.2914,4.4110,1.7059,3.3210,4.6807,---,---,---,1.70,3.20,4.50,0.0474,0.0272,0.1139,0.0346,0.3599,0.0816,0.0456,0.0267,0.1150,0.0346,0.5085,0.1086,,,,,,,---,---,---,2.5,2.30,1.54,,,,,,,,1 , 1,4 , 1,H,
64,SUN 14,2009-01-05 00:30,法國足總盃,蒙特路干,巴黎聖日耳門,6.7809,3.7579,1.4397,7.4925,3.9434,1.3936,---,---,---,8.75,4.40,1.28,0.9320,0.1374,0.2281,0.0607,0.0459,0.0319,1.0618,0.1417,0.2914,0.0739,0.0401,0.0288,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,0 , 1,A,
65,SUN 15,2009-01-05 02:00,西班牙甲組聯賽,西維爾,奧沙辛拿,1.3513,4.3561,8.1639,1.4033,4.1009,7.6897,---,---,---,1.40,3.85,6.80,0.0344,0.0254,0.3192,0.0733,0.8548,0.1047,0.0700,0.0499,0.2597,0.0633,0.6591,0.0857,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,1 , 1,D,
66,SUN 16,2009-01-05 02:30,葡萄牙超級聯賽,國民隊,波圖,4.4261,3.2895,1.7371,4.4604,3.2888,1.7447,---,---,---,4.55,3.25,1.68,0.3724,0.0841,0.1139,0.0346,0.0557,0.0321,0.3651,0.0818,0.1194,0.0363,0.0668,0.0383,,,,,,,---,---,---,2.5,2.20,1.59,,,,,,,,1 , 0,2 , 4,A,
