,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AV角球數,,,,,BA賽果HAD,BB賠率
0,FRI 58,2006-07-01 03:00,世盃,意大利,烏克蘭,1.5813,3.3941,6.0388,1.5608,3.4218,6.5063,---,---,---,1.50,3.45,6.75,0.0529,0.0334,0.4085,0.1203,0.7083,0.1173,0.0748,0.0479,0.2492,0.0728,0.9255,0.1422,---,---,---,-1,2.13,1.76,---,---,---,2.5,2.72,1.42,,,,,,,,1 , 0,3 , 0,H,
1,SAT 59,2006-07-01 23:00,世盃,英格蘭,葡萄牙,2.1519,3.0740,3.4283,2.1395,3.0101,3.6163,---,---,---,2.05,3.05,3.45,0.2994,0.1391,0.2109,0.0686,0.4117,0.1201,0.3667,0.1714,0.1949,0.0647,0.4952,0.1369,---,---,---,0/-0.5,1.74,2.16,---,---,---,2.5,2.55,1.47,,,,,,,,0 , 0,0 , 0,D,
2,SAT 60,2006-07-02 03:00,世盃,巴西,法國,1.7765,3.2617,4.5526,1.7202,3.3650,4.7920,---,---,---,1.60,3.50,5.20,0.0683,0.0384,0.1879,0.0576,0.3561,0.0782,0.0740,0.0430,0.2624,0.0780,0.3745,0.0782,---,---,---,-0.5/-1,1.91,1.95,---,---,---,2.5,2.19,1.62,,,,,,,,0 , 0,0 , 1,A,
3,SUN 71,2006-07-03 00:00,挪威超級聯賽,費德列斯達,利恩,2.3388,3.1713,2.7316,2.3490,3.1886,2.7535,---,---,---,2.25,3.20,2.75,0.0933,0.0399,0.1058,0.0333,0.1467,0.0537,0.1027,0.0437,0.1150,0.0361,0.1349,0.0490,---,---,---,0/-0.5,2.04,1.80,---,---,---,2.5,1.85,1.85,,,,,,,,1 , 0,1 , 2,A,
4,SUN 72,2006-07-03 00:00,挪威超級聯賽,咸卡,白蘭恩,3.0218,3.2012,2.1540,3.1076,3.2124,2.1366,---,---,---,3.10,3.20,2.05,0.1520,0.0503,0.1135,0.0355,0.1072,0.0498,0.2177,0.0700,0.1136,0.0354,0.1046,0.0489,---,---,---,0/+0.5,2.04,1.80,---,---,---,2.5,1.95,1.75,,,,,,,,2 , 0,4 , 0,H,
5,SUN 73,2006-07-03 00:00,挪威超級聯賽,莫迪,史達比克,2.1102,3.2069,3.1224,2.1283,3.2119,3.1263,---,---,---,2.10,3.20,3.00,0.0886,0.0420,0.1097,0.0342,0.1691,0.0542,0.1055,0.0496,0.1068,0.0333,0.1761,0.0563,---,---,---,0/-0.5,1.90,1.93,---,---,---,2.5,1.92,1.78,,,,,,,,1 , 1,1 , 3,A,
6,SUN 74,2006-07-03 00:00,挪威超級聯賽,維京,洛辛堡,2.5915,3.1287,2.4652,2.6032,3.1591,2.4924,---,---,---,2.50,3.10,2.50,0.1137,0.0439,0.1813,0.0580,0.1083,0.0439,0.1113,0.0427,0.1099,0.0348,0.1180,0.0473,---,---,---,0,1.90,1.93,---,---,---,2.5,1.90,1.80,,,,,,,,1 , 2,1 , 3,A,
7,SUN 75,2006-07-03 02:00,挪威超級聯賽,華拉倫加,辛迪夫佐特,1.5294,3.6123,5.5878,1.5339,3.6380,5.6362,---,---,---,1.60,3.35,5.00,0.0488,0.0319,0.1917,0.0531,0.5729,0.1025,0.0652,0.0425,0.2085,0.0573,0.6435,0.1142,---,---,---,-0.5/-1,1.75,2.12,---,---,---,2.5,1.85,1.85,,,,,,,,3 , 0,4 , 1,H,
8,MON 71,2006-07-04 01:00,挪威超級聯賽,史達,特林素,1.9668,3.2308,3.4702,1.9536,3.2245,3.5905,---,---,---,1.90,3.20,3.50,0.0791,0.0402,0.1073,0.0332,0.2337,0.0673,0.0765,0.0392,0.1224,0.0379,0.3564,0.0992,---,---,---,-0.5,1.90,1.87,---,---,---,2.5,1.80,1.90,,,,,,,,1 , 0,1 , 1,D,
