,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AV角球數,,,,,BA賽果HAD,BB賠率
14,TUE 15,2008-01-01 23:00,英格蘭冠軍聯賽,葉士域治,西布朗,2.5212,3.1907,2.5574,2.6053,3.1940,2.4984,---,---,---,2.45,3.35,2.40,0.1225,0.0486,0.1594,0.0500,0.0854,0.0334,0.1799,0.0690,0.1513,0.0474,0.0915,0.0366,---,---,---,0,2.08,1.78,---,---,---,2.5,1.62,2.15,,,,,,,,0 , 0,2 , 0,H,
15,TUE 16,2008-01-01 23:00,英格蘭冠軍聯賽,昆士柏流浪,李斯特城,2.1515,3.1910,3.0959,2.1666,3.1949,3.0905,---,---,---,2.20,3.10,2.90,0.0829,0.0385,0.1251,0.0392,0.1519,0.0491,0.0893,0.0412,0.1315,0.0412,0.1422,0.0460,---,---,---,0/-0.5,2.00,1.84,---,---,---,2.5,2.10,1.65,,,,,,,,2 , 0,3 , 1,H,
16,TUE 17,2008-01-01 23:00,英格蘭冠軍聯賽,斯肯索普,班士利,2.2945,3.1904,2.8363,2.3147,3.1927,2.8296,---,---,---,2.25,3.20,2.75,0.0810,0.0353,0.1314,0.0412,0.1096,0.0386,0.1007,0.0435,0.1350,0.0423,0.1026,0.0363,---,---,---,0/-0.5,2.08,1.78,---,---,---,2.5,1.92,1.78,,,,,,,,1 , 0,2 , 2,D,
17,TUE 18,2008-01-01 23:00,英格蘭冠軍聯賽,錫周三,普雷斯頓,2.0342,3.2093,3.3585,2.1194,3.1885,3.2246,---,---,---,2.15,3.20,2.90,0.0673,0.0331,0.1180,0.0368,0.1714,0.0510,0.1497,0.0706,0.1178,0.0370,0.1684,0.0522,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 1,2 , 1,H,
18,TUE 19,2008-01-01 23:00,英格蘭冠軍聯賽,修咸頓,屈福特,2.3785,3.1902,2.7111,2.3755,3.2123,2.7303,---,---,---,2.30,3.25,2.62,0.0657,0.0276,0.1657,0.0520,0.1204,0.0444,0.0750,0.0316,0.1606,0.0500,0.1359,0.0498,---,---,---,0,1.77,2.09,---,---,---,2.5,1.82,1.88,,,,,,,,0 , 1,0 , 3,A,
19,TUE 20,2008-01-01 23:00,英格蘭冠軍聯賽,史篤城,侯城,1.8103,3.2873,4.0778,1.8431,3.2691,4.0322,---,---,---,1.85,3.30,3.60,0.0731,0.0404,0.1247,0.0379,0.2710,0.0665,0.1052,0.0571,0.1226,0.0375,0.2494,0.0619,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,1 , 0,1 , 1,D,
20,TUE 21,2008-01-01 23:00,英格蘭冠軍聯賽,狼隊,錫菲聯,1.9566,3.2216,3.5894,2.0012,3.2137,3.5070,---,---,---,2.05,3.10,3.20,0.0977,0.0499,0.1183,0.0367,0.2222,0.0619,0.1185,0.0592,0.1127,0.0351,0.2149,0.0613,,,,,,,---,---,---,2.5,2.19,1.60,,,,,,,,0 , 0,0 , 0,D,
21,TUE 22,2008-01-01 23:00,英格蘭甲組聯賽,白禮頓,般尼茅夫,1.7266,3.3569,4.3468,1.7435,3.3490,4.2904,---,---,---,1.75,3.30,4.05,0.0479,0.0277,0.1232,0.0367,0.2547,0.0586,0.0661,0.0379,0.1211,0.0362,0.2253,0.0525,,,,,,,---,---,---,2.5,1.82,1.88,,,,,,,,1 , 1,3 , 2,H,
22,TUE 23,2008-01-01 23:00,英格蘭甲組聯賽,克魯,燦美爾,2.5713,3.1730,2.4978,2.6807,3.1772,2.4180,---,---,---,2.75,3.10,2.30,0.1733,0.0674,0.1051,0.0331,0.1087,0.0435,0.2543,0.0949,0.1064,0.0335,0.1334,0.0552,---,---,---,0/+0.5,1.84,2.00,---,---,---,2.5,2.15,1.62,,,,,,,,1 , 2,4 , 3,H,
23,TUE 24,2008-01-01 23:00,英格蘭甲組聯賽,列斯聯,奧咸,1.5184,3.6376,5.7845,1.5324,3.6310,5.6574,---,---,---,1.60,3.35,5.00,0.0479,0.0316,0.1822,0.0501,0.3736,0.0646,0.0616,0.0402,0.1878,0.0517,0.3526,0.0623,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 3,1 , 3,A,
24,TUE 25,2008-01-01 23:00,英格蘭甲組聯賽,奧連特,基寧咸,1.7901,3.3253,4.0552,1.8274,3.3071,3.9309,---,---,---,1.82,3.25,3.75,0.0752,0.0420,0.1271,0.0382,0.2937,0.0724,0.1000,0.0547,0.1049,0.0317,0.2434,0.0619,,,,,,,---,---,---,2.5,1.92,1.78,,,,,,,,0 , 0,0 , 0,D,
25,TUE 26,2008-01-01 23:00,英格蘭甲組聯賽,盧頓,伊奧維,2.1570,3.1929,3.0330,2.1194,3.2006,3.1373,---,---,---,2.05,3.10,3.20,0.0716,0.0332,0.1032,0.0323,0.1943,0.0641,0.0848,0.0400,0.1076,0.0336,0.2814,0.0897,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,0 , 0,1 , 0,H,
26,TUE 27,2008-01-01 23:00,英格蘭甲組聯賽,諾咸頓,米禾爾,2.2322,3.1979,2.8878,2.2317,3.1991,2.9092,---,---,---,2.15,3.20,2.90,0.0755,0.0338,0.0982,0.0307,0.1421,0.0492,0.0771,0.0345,0.1013,0.0317,0.1552,0.0533,---,---,---,0/-0.5,1.96,1.88,---,---,---,2.5,1.92,1.78,,,,,,,,1 , 0,1 , 1,D,
27,TUE 28,2008-01-01 23:00,英格蘭甲組聯賽,諾定咸森林,哈特斯菲爾德,1.6019,3.4949,5.1191,1.5969,3.5168,5.1980,---,---,---,1.62,3.40,4.75,0.0400,0.0250,0.1696,0.0485,0.4267,0.0834,0.0426,0.0267,0.1820,0.0517,0.4770,0.0918,,,,,,,---,---,---,2.5,1.92,1.78,,,,,,,,0 , 1,2 , 1,H,
28,TUE 29,2008-01-01 23:00,英格蘭甲組聯賽,華素爾,唐卡士打,2.2671,3.1763,2.8557,2.2995,3.1750,2.8306,---,---,---,2.30,3.10,2.75,0.1001,0.0441,0.0942,0.0297,0.1380,0.0483,0.1256,0.0546,0.1014,0.0319,0.1216,0.0430,---,---,---,0/-0.5,2.14,1.74,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 1,1 , 1,D,
29,TUE 30,2008-01-02 01:20,英格蘭超級聯賽,阿士東維拉,熱刺,2.3060,3.2051,2.9201,2.3478,3.1814,2.9026,---,---,---,2.25,3.30,2.75,0.1280,0.0555,0.1349,0.0421,0.1567,0.0537,0.1223,0.0521,0.1314,0.0413,0.1342,0.0462,---,---,---,0/-0.5,2.11,1.76,---,---,---,2.5,1.65,2.10,,,,,,,,1 , 0,2 , 1,H,
30,WED 2,2008-01-02 23:00,蘇格蘭超級聯賽,鴨巴甸,恩華尼斯,1.8926,3.2642,3.7236,1.9403,3.2500,3.6166,---,---,---,1.90,3.30,3.40,0.0832,0.0439,0.0876,0.0268,0.2138,0.0574,0.1015,0.0523,0.0870,0.0268,0.1925,0.0532,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,1 , 0,H,
31,WED 3,2008-01-02 23:00,蘇格蘭超級聯賽,登地聯,赫斯,1.9803,3.2522,3.4324,2.0131,3.2462,3.3876,---,---,---,2.05,3.25,3.05,0.0904,0.0457,0.1169,0.0360,0.2351,0.0685,0.1092,0.0542,0.1150,0.0354,0.2122,0.0626,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,1 , 1,4 , 1,H,
32,WED 5,2008-01-02 23:00,蘇格蘭超級聯賽,基爾馬諾克,福爾柯克,2.2729,3.2102,2.8408,2.3974,3.2030,2.7143,---,---,---,2.45,3.25,2.45,0.0961,0.0423,0.1047,0.0326,0.1083,0.0381,0.1822,0.0760,0.1072,0.0335,0.1334,0.0491,---,---,---,0,1.97,1.87,---,---,---,2.5,1.80,1.90,,,,,,,,0 , 1,0 , 1,A,
33,WED 6,2008-01-03 00:00,西班牙盃,基達菲,貝高斯,1.2743,4.7294,9.0174,1.2808,4.7275,9.0284,---,---,---,1.28,4.35,9.00,0.0303,0.0238,0.2955,0.0625,0.9437,0.1047,0.0338,0.0264,0.2678,0.0566,0.9321,0.1032,,,,,,,---,---,---,2.5,1.78,1.92,,,,,,,,1 , 0,4 , 1,H,
34,WED 7,2008-01-03 01:00,西班牙盃,巴塞隆拿,艾高恩奴,1.1049,7.4214,16.2459,1.1028,7.5082,17.1174,---,---,---,1.06,7.50,23.00,0.0188,0.0170,0.8784,0.1184,4.4418,0.2734,0.0198,0.0180,0.9161,0.1220,5.1900,0.3032,,,,,,,---,---,---,3.5,2.05,1.68,,,,,,,,2 , 0,2 , 2,D,
35,WED 8,2008-01-03 03:00,西班牙盃,皇家馬德里,阿利根迪,1.1478,6.3369,13.5526,1.1325,6.6993,14.9024,---,---,---,1.10,6.25,19.00,0.0213,0.0185,0.6422,0.1013,2.9796,0.2199,0.0210,0.0185,1.1280,0.1684,4.1366,0.2776,,,,,,,---,---,---,2.5,1.45,2.55,,,,,,,,1 , 0,2 , 1,H,
36,WED 9,2008-01-03 03:00,西班牙盃,維拉利爾,拉斯彭馬斯,1.2194,5.2648,10.3458,1.2270,5.2610,10.1296,---,---,---,1.25,4.75,9.00,0.0391,0.0321,0.4039,0.0767,1.2027,0.1162,0.0373,0.0304,0.4382,0.0833,0.9838,0.0971,,,,,,,---,---,---,2.5,1.65,2.10,,,,,,,,0 , 1,2 , 1,H,
37,WED 10,2008-01-03 03:45,英格蘭超級聯賽,紐卡素,曼城,2.2202,3.2091,3.0536,2.2323,3.2043,3.0736,---,---,---,2.20,3.20,2.90,0.0571,0.0257,0.0968,0.0302,0.1837,0.0602,0.0545,0.0244,0.1053,0.0329,0.1966,0.0640,---,---,---,0/-0.5,1.92,1.92,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 1,0 , 2,A,
38,WED 11,2008-01-03 03:45,西班牙盃,梅西亞,華拉度列,2.1932,3.1165,3.0086,2.2249,3.1195,2.9851,---,---,---,2.25,3.10,2.80,0.0826,0.0377,0.0848,0.0272,0.1462,0.0486,0.1148,0.0516,0.0891,0.0286,0.1322,0.0443,---,---,---,0/-0.5,2.13,1.74,---,---,---,2.5,2.15,1.62,,,,,,,,1 , 1,2 , 3,A,
39,WED 12,2008-01-03 03:45,西班牙盃,維爾瓦,薩雷斯,1.4393,3.8565,6.5783,1.6411,3.4326,5.1514,---,---,---,1.75,3.30,4.00,0.0827,0.0574,0.2637,0.0684,0.7802,0.1186,0.1767,0.1077,0.2861,0.0833,0.8172,0.1586,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,1 , 1,1 , 1,D,
40,WED 13,2008-01-03 03:45,英格蘭甲組聯賽,車頓咸,維爾港,2.0819,3.1985,3.1848,2.1977,3.1668,3.0262,---,---,---,2.30,3.00,2.82,0.0797,0.0383,0.0796,0.0249,0.1857,0.0583,0.1751,0.0797,0.0820,0.0259,0.1744,0.0576,---,---,---,0/-0.5,2.15,1.73,---,---,---,2.5,2.15,1.62,,,,,,,,1 , 0,1 , 0,H,
41,WED 14,2008-01-03 04:00,英格蘭超級聯賽,布力般流浪,新特蘭,1.5806,3.5842,5.5752,1.5683,3.6267,5.7861,---,---,---,1.57,3.55,5.10,0.0412,0.0260,0.2089,0.0583,0.5160,0.0926,0.0456,0.0291,0.2038,0.0562,0.6761,0.1169,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,1 , 0,H,
42,WED 15,2008-01-03 04:00,英格蘭超級聯賽,保頓,打比郡,1.5096,3.7035,6.3364,1.4762,3.8365,6.7656,---,---,---,1.45,3.75,6.40,0.0474,0.0314,0.2344,0.0633,0.7901,0.1247,0.0420,0.0285,0.3195,0.0833,0.8427,0.1246,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,1 , 0,H,
43,WED 16,2008-01-03 04:00,英格蘭超級聯賽,利物浦,韋根,1.2199,5.3288,12.2713,1.2045,5.5247,13.4469,---,---,---,1.15,5.70,15.00,0.0265,0.0217,0.4629,0.0869,2.2141,0.1804,0.0335,0.0279,0.5401,0.0978,3.0642,0.2279,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,0 , 0,1 , 1,D,
44,WED 17,2008-01-03 04:00,西班牙盃,馬德里體育會,格蘭納達,1.2929,4.6473,8.5578,1.3179,4.5201,8.2049,---,---,---,1.35,4.20,7.00,0.0549,0.0425,0.3385,0.0728,1.1186,0.1307,0.0591,0.0449,0.3143,0.0695,0.8733,0.1064,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,0 , 0,1 , 1,D,
45,WED 18,2008-01-03 04:00,西班牙盃,貝迪斯,艾爾切,1.5919,3.4729,5.2445,1.7208,3.3448,4.5478,---,---,---,1.75,3.20,4.20,0.0921,0.0578,0.1281,0.0369,0.6063,0.1156,0.1473,0.0856,0.1708,0.0510,0.5896,0.1296,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,1 , 0,3 , 0,H,
46,WED 19,2008-01-03 04:00,西班牙盃,拉科魯尼亞,愛斯賓奴,2.6576,3.1200,2.4184,2.6882,3.1344,2.4120,---,---,---,2.75,3.20,2.25,0.1049,0.0395,0.1026,0.0329,0.0883,0.0365,0.1386,0.0516,0.1128,0.0360,0.0830,0.0344,---,---,---,0,2.07,1.78,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 1,1 , 1,D,
47,WED 20,2008-01-03 04:00,西班牙盃,桑坦德,馬拉加,1.5926,3.4790,5.2039,1.6022,3.4851,5.1822,---,---,---,1.67,3.20,4.75,0.0911,0.0572,0.1273,0.0366,0.5655,0.1087,0.0702,0.0438,0.1590,0.0456,0.4492,0.0867,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,2 , 0,2 , 0,H,
