,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
9,WED 26,2010-06-02 18:00,盃賽,尚州尚武,FC城南,5.2476,3.5131,1.5831,5.3887,3.5498,1.5693,---,---,---,4.90,3.65,1.55,0.4270,0.0814,0.1335,0.0380,0.0294,0.0185,0.5381,0.0999,0.1531,0.0431,0.0446,0.0284,,,,,,,---,---,---,2.5,1.88,1.82,,,,,,,,1 , 1,1 , 1,D,
10,WED 27,2010-06-02 21:30,國際賽,津巴布韋,巴西,17.2676,7.5841,1.1042,22.3557,8.9205,1.0743,---,---,---,24.00,9.20,1.04,5.1868,0.3004,1.5377,0.2028,0.0345,0.0313,9.2060,0.4118,2.4277,0.2721,0.0306,0.0285,,,,,,,---,---,---,2.5,1.27,3.40,,,,,,,,0 , 2,0 , 3,A,
11,WED 40,2010-06-03 00:30,國際賽,希臘,巴拉圭,2.7794,3.1709,2.3451,2.8619,3.1587,2.3349,---,---,---,3.10,3.10,2.10,0.1126,0.0405,0.1180,0.0372,0.0739,0.0315,0.1851,0.0647,0.1190,0.0377,0.0755,0.0323,---,---,---,0/+0.5,1.91,1.93,---,---,---,2.5,2.19,1.60,,,,,,,,0 , 2,0 , 2,A,
12,WED 28,2010-06-03 01:00,國際賽,挪威,烏克蘭,2.1197,3.1959,3.1422,2.0952,3.2192,3.2286,---,---,---,2.10,3.25,2.95,0.0729,0.0344,0.1036,0.0324,0.1430,0.0455,0.0833,0.0398,0.1217,0.0378,0.1890,0.0585,---,---,---,0/-0.5,1.94,1.90,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 0,0 , 1,A,
13,WED 29,2010-06-03 02:30,國際賽,塞爾維亞,波蘭,1.7630,3.3378,4.2485,1.7083,3.4295,4.5510,---,---,---,1.62,3.60,4.35,0.0516,0.0293,0.1256,0.0376,0.2980,0.0701,0.0663,0.0388,0.1705,0.0497,0.3743,0.0823,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,0 , 0,D,
14,WED 30,2010-06-03 06:30,巴西甲組聯賽,帕拉尼恩斯,保地花高,2.1421,3.2051,3.0248,2.1731,3.2297,2.9758,---,---,---,2.05,3.40,2.95,0.0892,0.0417,0.1205,0.0376,0.1360,0.0450,0.1010,0.0465,0.1525,0.0472,0.1642,0.0552,,,,,,,---,---,---,2.5,1.68,2.05,,,,,,,,1 , 2,3 , 2,H,
15,WED 31,2010-06-03 06:30,巴西甲組聯賽,富明尼斯,維多利亞,1.5234,3.6018,5.7110,1.4311,3.8893,6.9114,---,---,---,1.32,4.30,7.50,0.0484,0.0318,0.2034,0.0565,0.5823,0.1020,0.0666,0.0465,0.4184,0.1076,1.2041,0.1742,,,,,,,---,---,---,2.5,1.59,2.20,,,,,,,,1 , 0,2 , 1,H,
16,WED 32,2010-06-03 06:30,巴西甲組聯賽,普丹迪,戈亞尼恩斯,1.6322,3.4658,4.7512,1.5898,3.5341,5.1397,---,---,---,1.52,3.80,5.00,0.0484,0.0297,0.1643,0.0474,0.3324,0.0700,0.0527,0.0331,0.2024,0.0573,0.5927,0.1153,,,,,,,---,---,---,2.5,1.62,2.15,,,,,,,,1 , 0,1 , 0,H,
17,WED 33,2010-06-03 07:30,盃賽,華盛頓聯隊,皇家鹽湖城,2.4599,3.1645,2.5923,2.3480,3.1815,2.7396,---,---,---,2.15,3.30,2.82,0.1431,0.0582,0.1662,0.0525,0.2123,0.0819,0.1379,0.0587,0.1803,0.0567,0.2410,0.0880,,,,,,,---,---,---,2.5,1.48,2.45,,,,,,,,0 , 0,1 , 1,D,
18,WED 34,2010-06-03 07:30,美國職業聯賽,紐約紅牛,侯斯頓戴拿模,2.2086,3.1710,2.9409,2.2691,3.1701,2.8705,---,---,---,2.30,3.20,2.65,0.1168,0.0529,0.1152,0.0363,0.1373,0.0467,0.1336,0.0589,0.1240,0.0391,0.1121,0.0391,---,---,---,0,1.81,2.04,---,---,---,2.5,2.00,1.72,,,,,,,,1 , 0,2 , 1,H,
19,WED 35,2010-06-03 08:00,巴西甲組聯賽,施亞拉,艾華爾,2.0317,3.2288,3.2629,1.9270,3.2692,3.5658,---,---,---,1.72,3.45,4.00,0.0828,0.0407,0.1214,0.0376,0.2283,0.0700,0.0712,0.0370,0.1368,0.0418,0.3385,0.0949,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,2 , 0,H,
20,WED 36,2010-06-03 08:50,巴西甲組聯賽,高士路,山度士,2.0307,3.2447,3.2478,2.0748,3.2728,3.1369,---,---,---,2.00,3.55,2.95,0.0953,0.0469,0.1456,0.0449,0.1918,0.0590,0.0866,0.0418,0.1835,0.0561,0.1435,0.0458,,,,,,,---,---,---,2.5,1.42,2.65,,,,,,,,0 , 0,0 , 0,D,
21,WED 37,2010-06-03 08:50,巴西甲組聯賽,戈亞斯,聖保羅,3.1402,3.2332,2.0768,3.1395,3.2206,2.0959,---,---,---,2.90,3.30,2.10,0.1443,0.0459,0.1256,0.0388,0.0601,0.0289,0.1512,0.0481,0.1210,0.0376,0.1098,0.0524,---,---,---,0/+0.5,1.85,1.99,---,---,---,2.5,1.82,1.88,,,,,,,,1 , 1,2 , 1,H,
22,WED 38,2010-06-03 08:50,巴西甲組聯賽,彭美拉斯,法林明高,2.0186,3.2253,3.3199,2.0126,3.2355,3.3340,---,---,---,2.00,3.30,3.15,0.1432,0.0709,0.1211,0.0376,0.2728,0.0822,0.0916,0.0455,0.1307,0.0404,0.1922,0.0576,---,---,---,0/-0.5,1.81,2.04,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,0 , 1,A,
23,WED 39,2010-06-03 10:00,美國職業聯賽,聖荷西地震,哥倫布機員,2.3888,3.1654,2.6725,2.4322,3.1573,2.6474,---,---,---,2.45,3.25,2.45,0.0862,0.0361,0.1364,0.0431,0.0948,0.0355,0.1260,0.0518,0.1411,0.0447,0.0963,0.0364,---,---,---,0,1.94,1.90,---,---,---,2.5,2.00,1.72,,,,,,,,1 , 1,2 , 2,D,
24,THU 22,2010-06-04 00:00,國際賽,西班牙,南韓,1.2234,5.3577,10.5345,1.2245,5.3555,10.8809,---,---,---,1.24,4.75,9.50,0.0351,0.0287,0.6387,0.1192,1.5253,0.1448,0.0387,0.0316,0.5222,0.0975,1.2578,0.1156,,,,,,,---,---,---,2.5,1.62,2.15,,,,,,,,0 , 0,1 , 0,H,
25,THU 23,2010-06-04 01:00,瑞典盃,哈馬比,特利堡,2.4689,3.1690,2.5494,2.3663,3.1915,2.7198,---,---,---,2.10,3.10,3.10,0.0749,0.0303,0.1315,0.0415,0.1275,0.0500,0.1094,0.0463,0.1349,0.0423,0.2413,0.0887,---,---,---,0/-0.5,1.84,2.00,---,---,---,2.5,2.02,1.70,,,,,,,,1 , 0,3 , 1,H,
26,THU 24,2010-06-04 01:15,國際賽,意大利,墨西哥,1.6346,3.4555,5.0689,1.8359,3.2350,4.1951,---,---,---,1.80,3.25,3.85,0.1197,0.0732,0.1903,0.0551,0.6293,0.1242,0.1526,0.0831,0.1439,0.0445,0.4589,0.1094,,,,,,,---,---,---,2.5,2.20,1.59,,,,,,,,0 , 1,1 , 2,A,
27,THU 25,2010-06-04 02:30,國際賽,德國,波斯尼亞,1.3173,4.4761,8.3997,1.2781,4.8305,9.4548,---,---,---,1.21,5.40,9.00,0.0464,0.0352,0.4154,0.0928,1.1557,0.1376,0.0376,0.0294,0.4531,0.0938,1.2687,0.1342,,,,,,,---,---,---,2.5,1.45,2.55,,,,,,,,0 , 1,3 , 1,H,
28,THU 26,2010-06-04 08:00,巴西甲組聯賽,哥連泰斯,國際體育會,1.8952,3.2937,3.5963,1.7695,3.3984,4.0653,---,---,---,1.68,3.60,4.00,0.0590,0.0311,0.1514,0.0460,0.2496,0.0694,0.0859,0.0485,0.1770,0.0521,0.4168,0.1025,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,1 , 0,2 , 0,H,
29,THU 27,2010-06-04 08:00,巴西甲組聯賽,甘美奧,明尼路,1.6553,3.4314,4.6682,1.6047,3.5580,4.9618,---,---,---,1.54,3.90,4.60,0.0481,0.0290,0.1857,0.0541,0.4272,0.0915,0.0472,0.0294,0.2181,0.0613,0.4548,0.0916,,,,,,,---,---,---,2.5,1.50,2.40,,,,,,,,1 , 1,2 , 1,H,
30,THU 28,2010-06-04 08:00,巴西甲組聯賽,華斯高,古蘭尼,1.6649,3.4377,4.6277,1.6149,3.5044,4.9515,---,---,---,1.50,3.80,5.20,0.0761,0.0457,0.1886,0.0549,0.5059,0.1093,0.0503,0.0312,0.1655,0.0472,0.4579,0.0925,,,,,,,---,---,---,2.5,1.68,2.05,,,,,,,,0 , 0,0 , 1,A,
31,FRI 21,2010-06-05 00:00,國際賽,法國,中國,1.1832,5.6719,13.1188,1.1624,6.0447,15.2372,---,---,---,1.08,7.25,18.00,0.0387,0.0327,0.6428,0.1133,3.5651,0.2718,0.0335,0.0288,0.7448,0.1232,4.3980,0.2886,,,,,,,---,---,---,2.5,1.50,2.40,,,,,,,,0 , 0,0 , 1,A,
32,FRI 22,2010-06-05 02:45,國際賽,斯洛文尼亞,新西蘭,1.4265,3.8708,7.0121,1.4546,3.8289,6.7749,---,---,---,1.36,4.15,6.75,0.0383,0.0269,0.2252,0.0582,0.7460,0.1064,0.0523,0.0360,0.2100,0.0548,0.7222,0.1066,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,3 , 1,3 , 1,H,
33,SAT 21,2010-06-05 12:00,日本乙組聯賽,FC橫濱,FC岐阜,2.0518,3.1947,3.2199,2.0358,3.1999,3.2498,---,---,---,1.95,3.30,3.25,0.1320,0.0643,0.0805,0.0252,0.2084,0.0647,0.0652,0.0320,0.0899,0.0281,0.1809,0.0557,---,---,---,0/-0.5,1.74,2.14,---,---,---,2.5,2.00,1.72,,,,,,,,1 , 0,2 , 0,H,
34,SAT 22,2010-06-05 12:00,日本乙組聯賽,群馬草津溫泉,北海道札幌岡薩多,2.9823,3.1861,2.1695,3.0421,3.2031,2.1288,---,---,---,3.25,3.20,2.00,0.2500,0.0838,0.0841,0.0264,0.1551,0.0715,0.1659,0.0545,0.0946,0.0295,0.0782,0.0367,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,0 , 1,1 , 1,D,
35,SAT 23,2010-06-05 13:00,日本聯賽盃,大宮松鼠,大阪櫻花,2.1998,3.1996,2.8863,2.1702,3.2409,2.9595,---,---,---,2.00,3.35,3.10,0.0809,0.0368,0.1059,0.0331,0.1511,0.0524,0.0794,0.0366,0.1409,0.0435,0.2013,0.0680,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,1 , 0,2 , 1,H,
36,SAT 24,2010-06-05 13:00,日本聯賽盃,仙台維加泰,名古屋鯨魚,2.3747,3.1904,2.6623,2.2439,3.2448,2.8296,---,---,---,2.10,3.40,2.85,0.1626,0.0685,0.1070,0.0335,0.2165,0.0813,0.1029,0.0459,0.1417,0.0437,0.1684,0.0595,---,---,---,0/-0.5,1.88,1.96,---,---,---,2.5,2.05,1.68,,,,,,,,0 , 0,0 , 0,D,
37,SAT 25,2010-06-05 13:00,日本聯賽盃,神戶勝利船,橫濱水手,3.1794,3.2079,2.0558,3.1449,3.2391,2.0786,---,---,---,3.00,3.30,2.05,0.1711,0.0538,0.1103,0.0344,0.0611,0.0297,0.1237,0.0393,0.1194,0.0368,0.0737,0.0355,---,---,---,0/+0.5,1.97,1.87,---,---,---,2.5,2.02,1.70,,,,,,,,0 , 0,1 , 1,D,
38,SAT 26,2010-06-05 15:00,日本聯賽盃,山形山神,湘南比馬,1.6403,3.4587,4.6641,1.6382,3.4839,4.7406,---,---,---,1.60,3.65,4.50,0.0374,0.0228,0.1480,0.0428,0.3461,0.0742,0.0424,0.0259,0.1304,0.0374,0.3666,0.0773,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,2 , 0,3 , 0,H,
39,SAT 27,2010-06-05 15:00,日本乙組聯賽,富山勝利,鳥棲砂岩,3.2930,3.2222,2.0037,3.2205,3.2088,2.0529,---,---,---,3.25,3.30,1.95,0.1506,0.0457,0.0775,0.0240,0.0448,0.0224,0.1491,0.0463,0.0787,0.0245,0.1252,0.0610,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,2 , 0,2 , 1,H,
40,SAT 28,2010-06-05 15:00,日本乙組聯賽,德島漩渦,水戶蜀葵,2.2464,3.1800,2.8574,2.1965,3.1792,2.9481,---,---,---,2.00,3.15,3.30,0.1154,0.0514,0.0773,0.0243,0.2573,0.0901,0.0915,0.0417,0.0827,0.0260,0.1867,0.0633,,,,,,,---,---,---,2.5,2.33,1.53,,,,,,,,0 , 0,3 , 1,H,
41,SAT 29,2010-06-05 18:00,日本乙組聯賽,岡山綠雉,柏雷素爾,6.0300,3.7408,1.4728,6.0464,3.7885,1.4675,---,---,---,7.00,4.10,1.36,0.5751,0.0954,0.1865,0.0498,0.0400,0.0271,0.5086,0.0841,0.1959,0.0517,0.0406,0.0277,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 1,0 , 2,A,
42,SAT 30,2010-06-05 20:00,國際賽,荷蘭,匈牙利,1.1991,5.5594,11.9958,1.1601,6.2287,14.3984,---,---,---,1.12,6.00,16.00,0.0471,0.0393,0.9108,0.1638,2.9338,0.2446,0.0317,0.0273,1.0564,0.1696,3.4009,0.2362,,,,,,,---,---,---,2.5,1.48,2.45,,,,,,,,1 , 1,6 , 1,H,
43,SAT 31,2010-06-05 20:15,國際賽,南非,丹麥,2.4832,3.1569,2.6117,2.4262,3.1698,2.7279,---,---,---,2.35,3.10,2.68,0.0854,0.0344,0.1147,0.0363,0.1500,0.0574,0.0918,0.0379,0.1236,0.0390,0.1957,0.0717,---,---,---,0,1.70,2.20,---,---,---,2.5,1.75,1.95,,,,,,,,0 , 0,1 , 0,H,
44,SAT 32,2010-06-05 20:30,國際賽,美國,澳洲,2.2748,3.1907,2.8597,2.2972,3.1862,2.8770,---,---,---,2.20,3.20,2.80,0.0764,0.0336,0.1184,0.0371,0.1719,0.0601,0.0904,0.0394,0.1269,0.0398,0.1755,0.0610,---,---,---,0/-0.5,2.02,1.83,---,---,---,2.5,2.05,1.68,,,,,,,,2 , 1,3 , 1,H,
45,SAT 33,2010-06-05 22:00,國際賽,加納,拉脫維亞,1.6842,3.4595,4.6717,1.6451,3.4946,4.9315,---,---,---,1.60,3.55,4.60,0.1199,0.0712,0.1809,0.0523,0.7034,0.1506,0.0621,0.0377,0.1556,0.0445,0.4774,0.0968,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 0,1 , 0,H,
46,SAT 34,2010-06-05 23:00,國際賽,斯洛伐克,哥斯達黎加,1.8367,3.3137,3.8884,1.8895,3.3040,3.7784,---,---,---,1.75,3.55,3.70,0.0889,0.0484,0.1388,0.0419,0.2742,0.0705,0.0933,0.0494,0.1382,0.0418,0.2192,0.0580,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,1 , 0,3 , 0,H,
47,SAT 35,2010-06-05 23:00,挪威超級聯賽,史卓加斯特,特林素,2.4801,3.2061,2.6077,2.5308,3.2229,2.5652,---,---,---,2.50,3.25,2.40,0.0902,0.0364,0.1383,0.0431,0.1068,0.0410,0.1101,0.0435,0.1564,0.0485,0.0922,0.0359,---,---,---,0,2.00,1.84,---,---,---,2.5,1.80,1.90,,,,,,,,2 , 1,2 , 1,H,
48,SAT 36,2010-06-06 01:30,國際賽,羅馬尼亞,洪都拉斯,1.8630,3.3058,3.8070,1.9867,3.2419,3.5563,---,---,---,1.95,3.30,3.25,0.0979,0.0526,0.1432,0.0433,0.2633,0.0692,0.1385,0.0697,0.1247,0.0385,0.2446,0.0688,,,,,,,---,---,---,2.5,2.19,1.60,,,,,,,,2 , 0,3 , 0,H,
49,SAT 37,2010-06-06 02:30,國際賽,塞爾維亞,喀麥隆,1.9602,3.2370,3.5053,1.9260,3.2640,3.6802,---,---,---,1.85,3.25,3.65,0.0777,0.0396,0.1151,0.0356,0.2316,0.0661,0.0771,0.0400,0.1232,0.0377,0.2665,0.0724,,,,,,,---,---,---,2.5,2.15,1.62,,,,,,,,4 , 2,4 , 3,H,
50,SAT 38,2010-06-06 02:45,國際賽,瑞士,意大利,2.9267,3.1649,2.2577,3.0592,3.1367,2.2294,---,---,---,3.30,3.15,2.00,0.1473,0.0503,0.1148,0.0363,0.1255,0.0556,0.2216,0.0724,0.1105,0.0352,0.0896,0.0402,---,---,---,0/+0.5,1.99,1.85,---,---,---,2.5,2.30,1.54,,,,,,,,1 , 1,1 , 1,D,
51,SAT 39,2010-06-06 04:00,美國職業聯賽,FC多倫多,肯薩斯體育會,1.6976,3.3411,4.5916,1.7748,3.2969,4.2624,---,---,---,1.75,3.40,3.90,0.0885,0.0521,0.1322,0.0396,0.4387,0.0955,0.1404,0.0791,0.1257,0.0381,0.4350,0.1021,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,0 , 0,0 , 0,D,
52,SAT 40,2010-06-06 05:30,巴西甲組聯賽,艾華爾,富明尼斯,2.0677,3.2071,3.1705,2.2646,3.1774,2.8799,---,---,---,2.30,3.30,2.60,0.1187,0.0574,0.1330,0.0415,0.1909,0.0602,0.2094,0.0925,0.1176,0.0370,0.1972,0.0685,---,---,---,0/-0.5,2.14,1.74,---,---,---,2.5,1.72,2.00,,,,,,,,0 , 1,0 , 3,A,
53,SAT 41,2010-06-06 05:30,巴西甲組聯賽,法林明高,戈亞斯,1.4530,3.7989,6.3029,1.5851,3.5767,5.1986,---,---,---,1.60,3.75,4.30,0.0587,0.0404,0.1875,0.0493,0.6417,0.1018,0.1095,0.0691,0.1846,0.0516,0.7014,0.1349,,,,,,,---,---,---,2.5,1.65,2.10,,,,,,,,0 , 0,1 , 2,A,
54,SAT 42,2010-06-06 05:30,巴西甲組聯賽,維多利亞,帕拉尼恩斯,1.7546,3.3252,4.1480,1.7254,3.3870,4.3128,---,---,---,1.65,3.60,4.20,0.0542,0.0309,0.1683,0.0506,0.3417,0.0824,0.0578,0.0335,0.1870,0.0552,0.3261,0.0756,,,,,,,---,---,---,2.5,1.68,2.05,,,,,,,,0 , 0,1 , 0,H,
55,SAT 43,2010-06-06 07:30,美國職業聯賽,華盛頓聯隊,皇家鹽湖城,2.5653,3.1678,2.4887,2.5067,3.1663,2.5633,---,---,---,2.35,3.30,2.55,0.1419,0.0553,0.1365,0.0431,0.1711,0.0688,0.0962,0.0384,0.1421,0.0449,0.1429,0.0558,---,---,---,0,1.80,2.05,---,---,---,2.5,1.85,1.85,,,,,,,,0 , 0,0 , 0,D,
56,SAT 44,2010-06-06 07:30,美國職業聯賽,紐約紅牛,美國芝華士,1.8168,3.3195,3.9025,1.8460,3.3060,3.8532,---,---,---,1.75,3.45,3.85,0.0726,0.0400,0.1295,0.0390,0.2377,0.0609,0.0885,0.0479,0.1226,0.0371,0.2198,0.0570,,,,,,,---,---,---,2.5,1.88,1.82,,,,,,,,1 , 0,1 , 0,H,
57,SAT 45,2010-06-06 08:00,美國職業聯賽,洛杉磯銀河,侯斯頓戴拿模,1.7301,3.3585,4.3139,1.7387,3.3434,4.3557,---,---,---,1.70,3.30,4.30,0.0626,0.0362,0.1289,0.0384,0.2936,0.0681,0.0671,0.0386,0.1163,0.0348,0.3026,0.0695,,,,,,,---,---,---,2.5,2.15,1.62,,,,,,,,2 , 1,4 , 1,H,
58,SAT 46,2010-06-06 08:30,美國職業聯賽,芝加哥火燄,費城聯,1.6861,3.4025,4.5345,1.6954,3.4079,4.5503,---,---,---,1.68,3.60,4.00,0.0468,0.0278,0.1571,0.0462,0.3898,0.0860,0.0670,0.0395,0.1511,0.0443,0.3680,0.0809,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,1 , 0,2 , 1,H,
59,SAT 47,2010-06-06 08:30,美國職業聯賽,FC達拉斯,聖荷西地震,2.0984,3.2016,3.1414,1.9973,3.2369,3.4196,---,---,---,1.82,3.35,3.65,0.0801,0.0382,0.1185,0.0370,0.2104,0.0670,0.0956,0.0478,0.1418,0.0438,0.3541,0.1036,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,0 , 0,2 , 0,H,
60,SAT 48,2010-06-06 09:00,美國職業聯賽,科羅拉多急流,哥倫布機員,2.2242,3.2064,2.8880,2.1851,3.2050,3.0012,---,---,---,2.05,3.20,3.10,0.0798,0.0359,0.1160,0.0362,0.1876,0.0650,0.0754,0.0345,0.1188,0.0371,0.2286,0.0762,---,---,---,0/-0.5,1.92,1.92,---,---,---,2.5,2.10,1.65,,,,,,,,0 , 0,1 , 0,H,
61,SAT 49,2010-06-06 10:30,美國職業聯賽,西雅圖海灣者,新英倫革命,1.8316,3.3069,3.8701,1.7662,3.3451,4.2345,---,---,---,1.57,3.50,5.00,0.0557,0.0304,0.1300,0.0393,0.3634,0.0939,0.0661,0.0374,0.1485,0.0444,0.4762,0.1125,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,3 , 0,3 , 0,H,
62,SUN 21,2010-06-06 12:00,日本聯賽盃,清水心跳,磐田山葉,1.6708,3.4383,4.4838,1.6923,3.4386,4.4318,---,---,---,1.65,3.60,4.20,0.0327,0.0196,0.1391,0.0405,0.2931,0.0654,0.0540,0.0319,0.1072,0.0312,0.2425,0.0547,,,,,,,---,---,---,2.5,1.85,1.85,,,,,,,,1 , 0,2 , 0,H,
63,SUN 22,2010-06-06 12:00,日本乙組聯賽,大分三神,東京綠茵,2.0847,3.2047,3.1166,2.0624,3.2115,3.1838,---,---,---,1.95,3.30,3.25,0.0649,0.0312,0.0599,0.0187,0.1957,0.0628,0.0713,0.0346,0.0691,0.0215,0.1843,0.0579,,,,,,,---,---,---,2.5,2.10,1.65,,,,,,,,1 , 0,1 , 1,D,
64,SUN 23,2010-06-06 12:00,日本乙組聯賽,櫪木SC,福岡黃蜂,2.4838,3.1495,2.5766,2.6587,3.1377,2.4110,---,---,---,2.75,3.10,2.30,0.2486,0.1001,0.0941,0.0299,0.2187,0.0849,0.1960,0.0737,0.0951,0.0303,0.1130,0.0469,---,---,---,0,2.02,1.83,---,---,---,2.5,2.35,1.52,,,,,,,,1 , 1,1 , 2,A,
65,SUN 24,2010-06-06 14:00,盃賽,釜山偶像,FC大邱,1.6624,3.4157,4.6119,1.6817,3.4112,4.5898,---,---,---,1.70,3.50,4.00,0.0350,0.0211,0.0956,0.0280,0.3733,0.0809,0.0461,0.0274,0.1068,0.0313,0.3904,0.0851,,,,,,,---,---,---,2.5,1.75,1.95,,,,,,,,2 , 2,2 , 3,A,
66,SUN 25,2010-06-06 14:00,盃賽,FC首爾,濟州聯,1.6254,3.4341,4.9278,1.6122,3.4630,5.2051,---,---,---,1.57,3.65,4.75,0.0247,0.0152,0.0774,0.0225,0.3904,0.0792,0.0314,0.0195,0.1310,0.0378,0.6391,0.1228,,,,,,,---,---,---,2.5,1.88,1.82,,,,,,,,2 , 0,5 , 1,H,
