,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,F主,G和,H客,I主,J和,K客,L主,M和,N客,O主,P和,Q客,R主,S主,T和,U和,V客,W客,X主,Y主,Z和,AA和,AB客,AC客,AD球數,AE主,AF客,AG球數,AH主,AI客,AJ球數,AK大,AL細,AM球數,AN大,AO細,AP球數,AQ大,AR細,AS球數,AT大,AU細,AV角球數,AW半場比數,AX半場比數,AY全場比數,AZ全場比數,BA賽果HAD,BB賠率
,A球賽編號,B開賽時間,C賽事類別,D主隊,E客隊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AV角球數,,,,,BA賽果HAD,BB賠率
0,TUE 21,2010-06-01 20:00,國際賽,澳洲,丹麥,2.9891,3.1975,2.2018,3.2394,3.2218,2.0940,---,---,---,3.45,3.25,1.90,0.2373,0.0794,0.1241,0.0388,0.1066,0.0484,0.2718,0.0839,0.1353,0.0420,0.1338,0.0639,---,---,---,0/+0.5,2.08,1.78,---,---,---,2.5,1.95,1.75,,,,,,,,0 , 0,1 , 0,H,
1,TUE 23,2010-06-02 02:15,國際賽,瑞士,哥斯達黎加,1.5567,3.6015,5.4885,1.5682,3.6272,5.4868,---,---,---,1.45,3.80,5.85,0.0382,0.0245,0.1682,0.0467,0.3727,0.0679,0.0530,0.0338,0.1687,0.0465,0.3988,0.0727,,,,,,,---,---,---,2.5,1.80,1.90,,,,,,,,0 , 0,0 , 1,A,
2,TUE 22,2010-06-02 02:30,國際賽,葡萄牙,喀麥隆,1.6144,3.4906,5.1004,1.5866,3.5631,5.3839,---,---,---,1.45,3.65,6.25,0.0569,0.0352,0.1649,0.0472,0.5851,0.1147,0.0459,0.0289,0.1772,0.0497,0.5579,0.1036,,,,,,,---,---,---,2.5,2.05,1.68,,,,,,,,1 , 0,3 , 1,H,
3,TUE 24,2010-06-02 02:30,國際賽,荷蘭,加納,1.3446,4.3640,7.9155,1.3112,4.6131,8.6494,---,---,---,1.26,4.75,8.50,0.0472,0.0351,0.3930,0.0901,1.1869,0.1500,0.0359,0.0274,0.4313,0.0935,1.1378,0.1316,,,,,,,---,---,---,2.5,1.65,2.10,,,,,,,,1 , 0,4 , 1,H,
4,WED 21,2010-06-02 14:00,盃賽,濟州聯,蔚山現代,2.5250,3.1566,2.5279,2.5434,3.1345,2.5529,---,---,---,2.50,3.25,2.40,0.0607,0.0240,0.0866,0.0274,0.0811,0.0321,0.0802,0.0315,0.0821,0.0262,0.1018,0.0399,,,,,,,---,---,---,2.5,2.00,1.72,,,,,,,,2 , 0,3 , 1,H,
5,WED 22,2010-06-02 15:00,盃賽,FC慶南,水原藍翼,2.3219,3.1757,2.7598,2.3279,3.1719,2.7874,---,---,---,2.20,3.25,2.78,0.0469,0.0202,0.0686,0.0216,0.0912,0.0331,0.0578,0.0248,0.0708,0.0223,0.1066,0.0382,,,,,,,---,---,---,2.5,1.95,1.75,,,,,,,,1 , 0,4 , 1,H,
6,WED 23,2010-06-02 15:10,盃賽,浦項制鐵,釜山偶像,1.9271,3.2495,3.5638,1.9736,3.2426,3.4764,---,---,---,1.83,3.40,3.55,0.0602,0.0312,0.0947,0.0291,0.1907,0.0535,0.0983,0.0498,0.0838,0.0258,0.2108,0.0607,,,,,,,---,---,---,2.5,1.72,2.00,,,,,,,,0 , 2,1 , 2,A,
7,WED 24,2010-06-02 16:00,盃賽,大田市民,仁川聯,3.3413,3.2196,2.0098,3.4402,3.2462,1.9771,---,---,---,3.40,3.30,1.90,0.1935,0.0579,0.0827,0.0257,0.0397,0.0197,0.2807,0.0816,0.1007,0.0310,0.0635,0.0321,,,,,,,---,---,---,2.5,1.90,1.80,,,,,,,,2 , 0,3 , 2,H,
8,WED 25,2010-06-02 18:00,盃賽,全南天龍,FC江原,1.6105,3.5274,4.9365,1.5640,3.6258,5.2637,---,---,---,1.55,3.80,4.70,0.0326,0.0202,0.1777,0.0504,0.3879,0.0786,0.0641,0.0410,0.2399,0.0662,0.6653,0.1264,,,,,,,---,---,---,2.5,1.57,2.25,,,,,,,,2 , 0,3 , 0,H,
